ts	pid	kind	api	rows	seconds
1789542985	197	counted	train	100000	0.17
1789543027	410	counted	train	90000	7.11
1789543033	445	uncounted	train	80000	0.98
1789543040	466	uncounted	train	100000	3.13
1789543044	466	uncounted	train	100000	3.20
1789543051	487	uncounted	train	100000	2.39
1789543054	487	uncounted	train	100000	2.47
1789543065	508	uncounted	train	100000	3.55
1789543069	508	uncounted	train	100000	3.76
1789543089	544	uncounted	train	100000	3.51
1789543098	565	uncounted	train	100000	3.83
1789543103	565	uncounted	train	100000	3.90
1789543111	586	uncounted	train	100000	3.54
1789543116	586	uncounted	train	100000	4.79
1789543120	586	uncounted	train	100000	2.95
1789543127	586	uncounted	train	100000	6.61
1789543131	586	uncounted	train	100000	4.17
1789543143	607	uncounted	train	80000	6.31
1789543149	607	uncounted	train	80000	6.17
1789543155	607	uncounted	train	80000	6.15
1789543162	607	uncounted	train	80000	6.19
1789543168	607	uncounted	train	80000	6.25
1789543175	607	uncounted	train	100000	6.85
1789543190	644	uncounted	train	100000	6.66
1789543199	644	uncounted	train	100000	8.97
1789543206	644	uncounted	train	100000	5.92
1789543216	644	uncounted	train	100000	8.55
1789543221	667	uncounted	train	100000	0.16
1789543230	690	uncounted	train	100000	3.82
1789543237	690	uncounted	train	100000	5.75
1789543250	764	counted	train	100000	6.02
1789543268	814	uncounted	train	100000	8.68
1789543278	814	uncounted	train	100000	8.53
1789543286	814	uncounted	train	100000	6.63
1789543292	814	uncounted	train	100000	5.17
1789543298	814	uncounted	train	100000	5.00
1789543305	814	uncounted	train	100000	6.38
1789543325	836	uncounted	train	80000	11.35
1789543337	836	uncounted	train	80000	11.48
1789543349	836	uncounted	train	80000	11.67
1789543361	836	uncounted	train	80000	11.75
1789543373	836	uncounted	train	80000	11.68
1789543387	836	uncounted	train	100000	12.86
1789543401	858	uncounted	train	100000	8.01
1789543413	858	uncounted	train	100000	10.29
1789543423	858	uncounted	train	100000	7.63
1789543432	858	uncounted	train	100000	8.49
1789543446	880	uncounted	train	100000	8.15
1789543457	880	uncounted	train	100000	9.49
1789543468	880	uncounted	train	100000	9.83
1789543481	880	uncounted	train	100000	11.42
1789543491	880	uncounted	train	80000	7.56
1789543499	880	uncounted	train	80000	7.59
1789543507	880	uncounted	train	80000	7.54
1789543514	880	uncounted	train	80000	7.44
1789543522	880	uncounted	train	80000	7.31
1789543536	955	counted	train	100000	7.58
1789543566	1057	counted	train	100000	8.60
1789543575	1057	counted	train	100000	8.96
1789543584	1057	counted	train	100000	8.83
1789543593	1057	counted	train	100000	8.76
1789543601	1057	counted	train	100000	8.85
1789543621	1092	uncounted	train	100000	8.65
1789543631	1092	uncounted	train	100000	8.49
1789543640	1092	uncounted	train	100000	8.38
1789543650	1092	uncounted	train	100000	8.57
1789543660	1092	uncounted	train	100000	8.37
1789543676	1092	uncounted	train	100000	14.37
1789543694	1092	uncounted	train	100000	14.01
1789543711	1092	uncounted	train	100000	14.09
1789543723	1092	uncounted	train	100000	8.44
1789543733	1092	uncounted	train	100000	8.59
1789543743	1092	uncounted	train	100000	8.86
1789543753	1092	uncounted	train	100000	8.16
1789543763	1092	uncounted	train	100000	8.80
1789543773	1092	uncounted	train	100000	8.17
1789543783	1092	uncounted	train	100000	8.12
1789543792	1092	uncounted	train	100000	7.93
1789543801	1092	uncounted	train	100000	7.86
1789543811	1092	uncounted	train	100000	7.94
1789543828	1114	uncounted	train	100000	8.24
1789543839	1114	uncounted	train	100000	9.02
1789543849	1114	uncounted	train	100000	9.00
1789543860	1114	uncounted	train	100000	8.81
1789543870	1114	uncounted	train	100000	9.03
1789543890	1114	uncounted	train	100000	17.71
1789543911	1114	uncounted	train	100000	17.50
1789543931	1114	uncounted	train	100000	17.25
1789543950	1189	counted	train	100000	9.02
1789543959	1189	counted	train	100000	8.92
1789543968	1189	counted	train	100000	8.96
1789543977	1189	counted	train	100000	8.74
1789543986	1189	counted	train	100000	8.57
1789544005	1224	uncounted	train	100000	8.59
1789544014	1224	uncounted	train	80000	7.79
