ts	pid	kind	api	rows	seconds
1789511683	139	counted	train	100000	0.19
1789511703	297	counted	train	100000	0.21
1789511711	373	counted	train	100000	2.71
1789511720	493	counted	train	100000	0.39
1789511736	614	counted	train	100000	0.23
1789511766	794	counted	train	100000	0.25
1789511782	896	counted	train	100000	1.11
1789511794	972	counted	train	100000	1.40
1789511804	1048	counted	train	100000	2.02
1789511816	1124	counted	train	100000	2.37
1789511829	1202	counted	train	100000	3.02
1789511844	1280	counted	train	100000	4.20
1789511861	1359	counted	train	100000	6.65
1789511880	1439	counted	train	100000	7.26
1789511907	1541	counted	train	100000	14.54
1789511945	1716	counted	train	100000	8.25
1789511971	1795	counted	train	100000	9.44
1789511996	1897	counted	train	100000	10.02
1789512020	2020	counted	train	100000	9.29
1789512047	2124	counted	train	100000	8.49
1789512071	2204	counted	train	100000	8.26
1789512099	2282	counted	train	100000	9.54
1789512124	2384	counted	train	100000	5.74
1789512146	2485	counted	train	100000	6.96
1789512167	2564	counted	train	100000	6.36
1789512202	2644	counted	train	100000	20.01
1789512228	2746	counted	train	100000	9.68
1789512256	2848	counted	train	100000	6.73
1789512262	2848	counted	train	100000	6.59
1789512269	2848	counted	train	100000	6.43
1789512276	2848	counted	train	100000	6.80
1789512303	2928	counted	train	100000	7.13
1789512310	2928	counted	train	100000	6.60
1789512316	2928	counted	train	100000	6.60
1789512323	2928	counted	train	100000	6.32
1789512329	2928	counted	train	100000	6.11
1789512336	2928	counted	train	100000	6.42
1789512342	2928	counted	train	100000	5.97
1789512348	2928	counted	train	100000	6.04
1789512388	3008	counted	train	100000	7.12
1789512395	3008	counted	train	100000	6.87
1789512401	3008	counted	train	100000	6.66
1789512408	3008	counted	train	100000	6.82
1789512414	3008	counted	train	100000	5.98
1789512421	3008	counted	train	100000	5.99
1789512428	3008	counted	train	100000	7.53
1789512436	3008	counted	train	100000	7.52
1789512475	3112	counted	train	100000	7.50
1789512482	3112	counted	train	100000	7.23
1789512489	3112	counted	train	100000	7.01
1789512496	3112	counted	train	100000	7.07
1789512503	3112	counted	train	100000	6.93
1789512511	3112	counted	train	100000	7.13
1789512518	3112	counted	train	100000	7.19
1789512525	3112	counted	train	100000	7.16
1789512573	3289	counted	train	100000	7.43
1789512580	3289	counted	train	100000	7.50
1789512588	3289	counted	train	100000	7.59
1789512596	3289	counted	train	100000	7.51
1789512604	3289	counted	train	100000	7.97
1789512612	3289	counted	train	100000	7.93
1789512620	3289	counted	train	100000	7.91
1789512628	3289	counted	train	100000	7.94
1789512684	3377	counted	train	100000	7.97
1789512693	3377	counted	train	100000	8.81
1789512701	3377	counted	train	100000	8.19
1789512709	3377	counted	train	100000	7.35
1789512716	3377	counted	train	100000	7.34
1789512724	3377	counted	train	100000	7.35
1789512731	3377	counted	train	100000	7.11
1789512738	3377	counted	train	100000	7.02
1789512775	3482	counted	train	100000	7.87
1789512783	3482	counted	train	100000	7.62
1789512791	3482	counted	train	100000	7.86
1789512799	3482	counted	train	100000	8.15
1789512807	3482	counted	train	100000	7.82
1789512815	3482	counted	train	100000	7.43
1789512823	3482	counted	train	100000	7.69
1789512831	3482	counted	train	100000	7.99
1789512860	3562	counted	train	100000	6.83
1789512867	3562	counted	train	100000	6.92
1789512874	3562	counted	train	100000	6.73
1789512881	3562	counted	train	100000	6.68
1789512888	3562	counted	train	100000	6.48
1789512894	3562	counted	train	100000	6.54
1789512901	3562	counted	train	100000	6.67
1789512908	3562	counted	train	100000	6.54
1789512941	3665	counted	train	100000	6.89
1789512948	3665	counted	train	100000	7.15
1789512956	3665	counted	train	100000	7.81
1789512964	3665	counted	train	100000	8.18
1789512972	3665	counted	train	100000	7.87
1789512980	3665	counted	train	100000	7.59
1789512988	3665	counted	train	100000	7.64
1789512995	3665	counted	train	100000	7.59
1789513028	3768	counted	train	100000	7.46
1789513036	3768	counted	train	100000	7.79
1789513044	3768	counted	train	100000	7.65
1789513052	3768	counted	train	100000	7.84
1789513060	3768	counted	train	100000	7.97
1789513068	3768	counted	train	100000	8.00
1789513076	3768	counted	train	100000	7.81
1789513084	3768	counted	train	100000	7.90
1789513092	3768	counted	train	100000	7.70
1789513100	3768	counted	train	100000	7.73
1789513135	3847	counted	train	100000	8.08
1789513144	3847	counted	train	100000	8.17
1789513152	3847	counted	train	100000	7.74
1789513160	3847	counted	train	100000	7.73
1789513167	3847	counted	train	100000	7.67
1789513175	3847	counted	train	100000	7.80
1789513184	3847	counted	train	100000	8.20
1789513192	3847	counted	train	100000	8.17
1789513200	3847	counted	train	100000	7.69
1789513208	3847	counted	train	100000	8.28
1789513248	3969	counted	train	100000	8.05
1789513256	3969	counted	train	100000	7.92
1789513264	3969	counted	train	100000	8.18
1789513272	3969	counted	train	100000	7.59
1789513280	3969	counted	train	100000	7.56
1789513287	3969	counted	train	100000	7.54
1789513295	3969	counted	train	100000	7.46
1789513303	3969	counted	train	100000	7.70
1789513310	3969	counted	train	100000	7.46
1789513318	3969	counted	train	100000	7.58
1789513357	4071	counted	train	100000	7.35
1789513364	4071	counted	train	100000	6.51
1789513370	4071	counted	train	100000	6.41
1789513377	4071	counted	train	100000	6.69
1789513384	4071	counted	train	100000	6.48
1789513391	4071	counted	train	100000	7.54
1789513399	4071	counted	train	100000	7.98
1789513407	4071	counted	train	100000	7.34
1789513414	4071	counted	train	100000	7.03
1789513421	4071	counted	train	100000	6.76
1789513462	4142	exempt	train	100000	7.73
1789513471	4142	exempt	train	100000	8.53
1789513479	4142	exempt	train	100000	7.73
1789513487	4142	exempt	train	100000	7.94
1789513494	4142	exempt	train	100000	7.04
1789513501	4142	exempt	train	100000	7.09
1789513509	4142	exempt	train	100000	7.22
1789513516	4142	exempt	train	100000	7.39
1789513525	4142	exempt	train	100000	8.28
1789513533	4142	exempt	train	100000	7.74
