ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789494611	109	0.038	uncounted	exit	0.0	0	-c
1789494612	111	0.036	uncounted	exit	0.0	0	-c
1789494612	113	0.037	uncounted	exit	0.0	0	-m --version
1789494612	115	0.035	uncounted	exit	0.0	0	-c
1789494621	203	4.757	counted	exit	3.4	1	train.py
1789494631	239	0.836	uncounted	exit	0.5	0	/tmp/recon.py
1789494645	281	0.041	uncounted	exit	0.0	0	-c
1789494645	283	0.040	uncounted	exit	0.0	0	-c
1789494645	285	0.039	uncounted	exit	0.0	0	-c
1789494654	399	1.670	counted	exit	0.9	0	train.py
1789494661	561	3.496	counted	exit	1.6	1	train.py
1789494680	691	22.467	counted	exit	6.6	1	train.py
1789494691	726	2.301	uncounted	exit	1.0	1	/tmp/sweep.py
1789494711	748	63.135	uncounted	exit	16.8	8	/tmp/sweep.py
1789494738	770	61.695	uncounted	exit	16.3	12	/tmp/sweep2.py
1789494754	792	16.947	uncounted	exit	5.5	4	/tmp/sweep3.py
1789494807	815	5.269	uncounted	exit	2.2	1	/tmp/sweep4.py
1789494823	837	19.637	uncounted	exit	6.8	7	/tmp/sweep5.py
1789494847	859	27.417	uncounted	exit	9.3	8	/tmp/sweep6.py
1789494865	881	3.733	uncounted	exit	3.2	0	/tmp/sweep7.py
1789494870	902	1.408	uncounted	exit	0.8	0	/tmp/sweep7.py
1789494891	920	62.056	uncounted	exit	18.8	8	/tmp/sweep7.py
1789494916	1002	14.867	counted	exit	6.3	1	train.py
1789494925	1039	0.034	uncounted	exit	0.0	0	/tmp/sweep8.py
1789494952	1052	70.143	uncounted	exit	20.5	5	/tmp/sweep8.py
1789494996	1075	110.620	uncounted	exit	31.3	8	/tmp/sweep9.py
1789495014	1098	22.423	uncounted	exit	8.4	2	/tmp/sweep10.py
1789495028	1120	27.394	uncounted	exit	10.1	2	-
1789495054	1142	33.845	uncounted	exit	11.3	3	/tmp/sweep11.py
1789495097	1163	91.857	uncounted	exit	26.2	6	-
