ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789527366	51	4.998	counted	exit	3.6	1	train.py
1789527372	76	0.806	uncounted	exit	0.4	0	-c
1789527380	81	0.688	uncounted	exit	0.3	0	-c
1789527388	86	0.723	uncounted	exit	0.3	0	-c
1789527395	112	1.611	counted	exit	0.9	0	train.py
1789527399	152	1.695	counted	exit	0.9	0	train.py
1789527414	192	19.299	counted	exit	6.0	1	train.py
1789527435	221	38.952	uncounted	exit	11.9	5	diag.py
1789527457	232	50.916	uncounted	exit	13.8	9	diag2.py
1789527465	243	6.635	uncounted	exit	2.3	6	diag3.py
1789527478	254	26.882	uncounted	exit	7.4	15	diag4.py
1789527493	265	8.520	uncounted	exit	3.3	7	diag5.py
1789527507	276	22.856	uncounted	exit	6.4	26	diag6.py
1789527536	287	94.777	uncounted	exit	24.5	108	diag6.py
1789527561	298	64.243	uncounted	exit	17.5	54	diag7.py
1789527605	309	147.561	uncounted	exit	37.8	136	diag8.py
1789527617	320	21.434	uncounted	exit	6.1	24	diag9.py
1789527645	331	92.027	uncounted	exit	23.7	88	diag9.py
1789527677	342	109.391	uncounted	exit	28.2	100	diag10.py
1789527779	353	270.061	uncounted	exit	68.5	170	diag11.py
1789528001	364	825.446	uncounted	exit	216.7	160	diag12.py
1789528718	386	1.424	uncounted	exit	1.0	0	-c
1789528994	393	962.826	uncounted	exit	261.2	70	diag14.py
1789529064	420	191.025	counted	exit	54.0	10	train.py
1789529273	444	658.291	uncounted	exit	181.6	35	diag16.py
1789529466	455	676.413	uncounted	exit	185.3	36	diag17.py
1789529534	482	220.036	counted	exit	61.8	10	train.py
1789529761	506	800.098	uncounted	exit	218.2	36	diag18.py
1789530190	517	1555.187	uncounted	exit	422.7	68	diag19.py
1789530452	528	864.047	uncounted	exit	235.6	52	diag20.py
1789530632	539	637.095	uncounted	exit	175.6	40	diag21.py
1789530719	566	158.148	counted	exit	43.8	10	train.py
1789531044	590	1149.776	uncounted	exit	314.4	56	diag22.py
1789531217	601	593.177	uncounted	exit	165.5	36	diag23.py
1789531337	612	388.607	uncounted	exit	108.1	24	diag24.py
1789531397	639	177.368	counted	exit	49.0	10	train.py
1789531480	663	238.613	uncounted	exit	65.9	35	diag25.py
1789531702	674	729.533	uncounted	exit	206.5	45	diag26.py
1789531950	685	791.245	uncounted	exit	237.3	40	diag27.py
1789532484	696	1839.706	uncounted	exit	518.3	104	diag28.py
1789532657	707	532.510	uncounted	exit	151.9	30	diag29.py
1789532778	718	400.147	uncounted	exit	112.9	24	diag30.py
1789532850	745	176.662	counted	exit	49.0	10	train.py
1789532946	793	207.159	counted	exit	59.4	10	train.py
1789533024	836	214.894	counted	exit	60.9	10	train.py
1789533137	881	253.071	counted	exit	74.3	10	train.py
1789533236	923	323.220	counted	exit	91.0	16	train.py
1789533249	948	0.034	uncounted	exit	0.0	0	-c
1789533348	965	343.238	counted	exit	98.3	16	train.py
1789533481	1006	425.490	counted	term	120.2	20	train.py
1789533499	1033	0.035	uncounted	exit	0.0	0	-c
1789533603	1050	360.447	counted	exit	103.6	16	train.py
1789533720	1079	383.757	exempt	exit	109.8	16	validate.py
