ts	pid	kind	api	rows	seconds
1789494710	193	counted	train	100000	0.14
1789494755	399	counted	train	100000	5.68
1789494812	502	counted	train	100000	1.62
1789494826	658	counted	train	100000	2.43
1789494845	827	counted	train	100000	1.90
1789494868	916	counted	train	100000	1.96
1789494885	1048	counted	train	100000	3.38
1789494906	1152	counted	train	100000	11.79
1789494937	1256	counted	train	100000	19.15
1789494975	1360	counted	train	100000	23.80
1789495028	1465	counted	train	100000	37.64
1789495089	1635	counted	train	100000	28.98
1789495138	1767	counted	train	100000	21.63
1789495158	1767	counted	train	100000	19.76
1789495178	1767	counted	train	100000	20.40
1789495260	1873	counted	train	100000	45.93
1789495346	1978	counted	train	100000	49.50
1789495407	2058	counted	train	100000	38.32
1789495502	2138	counted	train	100000	54.89
1789495611	2194	counted	train	100000	88.91
1789495675	2250	counted	train	100000	32.09
1789495711	2250	counted	train	100000	36.21
1789495760	2250	counted	train	100000	49.08
1789495809	2306	counted	train	100000	35.72
1789495836	2306	counted	train	100000	27.23
1789495955	2418	counted	train	100000	61.44
1789496012	2554	counted	train	100000	24.59
1789496035	2554	counted	train	100000	22.85
1789496117	2612	counted	train	100000	61.25
1789496181	2717	counted	train	100000	40.42
1789496214	2717	counted	train	100000	33.28
1789496267	2772	counted	train	100000	30.15
1789496304	2772	counted	train	100000	36.34
1789496380	2829	counted	train	100000	40.40
1789496419	2829	counted	train	100000	38.93
1789496495	2953	counted	train	100000	39.23
1789496534	2953	counted	train	100000	38.25
1789496600	3011	counted	train	100000	35.56
1789496631	3011	counted	train	100000	31.00
1789496706	3068	counted	train	100000	41.65
1789496746	3068	counted	train	100000	39.86
1789496805	3126	counted	train	100000	32.60
1789496836	3126	counted	train	100000	31.19
1789496934	3183	counted	train	100000	70.87
1789497037	3241	counted	train	100000	45.29
1789497076	3241	counted	train	100000	39.44
1789497149	3299	counted	train	100000	40.98
1789497182	3299	counted	train	100000	32.83
1789497245	3431	counted	train	100000	32.19
1789497276	3431	counted	train	100000	30.50
1789497316	3431	counted	train	100000	39.50
1789497399	3516	counted	train	100000	37.73
1789497428	3516	counted	train	100000	29.21
1789497471	3516	counted	train	100000	42.12
1789497558	3591	counted	train	100000	46.84
1789497584	3591	counted	train	100000	26.71
1789497623	3591	counted	train	100000	38.39
1789497687	3753	counted	train	100000	27.34
1789497713	3753	counted	train	100000	25.53
1789497761	3858	counted	train	100000	23.77
1789497783	3858	counted	train	100000	22.25
1789497813	3858	counted	train	100000	30.23
1789497860	3894	exempt	train	100000	26.06
1789497882	3894	exempt	train	100000	21.96
1789497912	3894	exempt	train	100000	29.74
