ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789525897	146	4.799	counted	exit	3.3	1	train.py
1789525901	189	0.870	uncounted	exit	0.5	0	-
1789525908	208	1.470	uncounted	exit	0.7	0	-c
1789525919	287	7.316	counted	exit	2.5	1	train.py
1789525943	392	11.278	counted	exit	3.8	1	train.py
1789525975	470	32.437	uncounted	exit	9.4	5	explore.py
1789525991	503	32.674	uncounted	exit	9.4	5	explore.py
1789525994	536	0.048	uncounted	exit	0.0	0	-
1789526003	538	32.525	uncounted	exit	9.4	5	explore.py
1789526006	573	0.044	uncounted	exit	0.0	0	-
1789526021	575	52.934	uncounted	exit	15.0	8	explore.py
1789526024	611	0.049	uncounted	exit	0.0	0	-
1789526024	613	0.047	uncounted	exit	0.0	0	-
1789526040	615	54.119	uncounted	exit	15.4	8	explore.py
1789526057	651	56.322	uncounted	exit	16.0	8	explore.py
1789526066	701	0.047	uncounted	exit	0.0	0	-
1789526082	703	56.274	uncounted	exit	15.9	9	explore.py
1789526105	739	58.065	uncounted	exit	16.4	9	explore.py
1789526108	771	0.045	uncounted	exit	0.0	0	-
1789526124	773	55.771	uncounted	exit	15.8	9	explore.py
1789526126	809	0.051	uncounted	exit	0.0	0	-
1789526145	811	66.177	uncounted	exit	18.6	10	explore.py
1789526178	868	75.858	uncounted	exit	20.1	9	explore2.py
1789526200	900	73.122	uncounted	exit	19.4	9	explore2.py
1789526247	952	133.451	uncounted	exit	35.0	12	explore3.py
1789526311	1004	201.028	uncounted	exit	52.2	9	explore4.py
1789526327	1072	2.427	counted	exit	1.4	0	train.py
1789526342	1185	26.273	counted	exit	7.5	1	train.py
1789526517	1246	639.821	uncounted	exit	162.6	24	explore5.py
1789526768	1301	941.448	uncounted	exit	239.6	35	explore6.py
1789526776	1341	0.054	uncounted	exit	0.0	0	-
1789526809	1358	128.472	counted	exit	33.7	5	train.py
1789526869	1430	154.965	uncounted	exit	40.8	6	explore7.py
1789526946	1467	283.602	uncounted	exit	73.4	10	explore7.py
1789526948	1506	0.045	uncounted	exit	0.0	0	-
1789526989	1523	158.011	counted	exit	41.2	5	train.py
1789527217	1573	867.486	uncounted	exit	222.9	28	explore7.py
1789527599	1610	1474.425	uncounted	exit	377.1	44	explore7.py
1789528050	1648	1699.306	uncounted	exit	437.0	49	explore7.py
1789528062	1686	0.053	uncounted	exit	0.0	0	-
1789528109	1703	179.875	counted	exit	46.8	5	train.py
1789528157	1771	135.739	uncounted	exit	35.5	5	explore8.py
1789528208	1824	127.123	uncounted	exit	36.1	4	explore9.py
1789528215	1856	0.045	uncounted	exit	0.0	0	-
1789528279	1873	252.503	counted	exit	64.8	5	train.py
1789528393	1941	398.691	uncounted	exit	102.3	9	explore10.py
1789528681	1995	1052.757	uncounted	exit	269.1	20	explore11.py
1789528684	2027	0.050	uncounted	exit	0.0	0	-
1789528762	2044	300.311	counted	exit	77.9	5	train.py
1789528771	2112	0.043	uncounted	exit	0.0	0	explore12.py
1789528772	2133	0.051	uncounted	exit	0.0	0	-
1789528848	2135	288.632	uncounted	exit	75.6	5	explore12.py
1789528856	2171	0.046	uncounted	exit	0.0	0	-
1789528951	2188	364.015	counted	exit	94.7	6	train.py
1789528962	2237	0.046	uncounted	exit	0.0	0	-
1789529040	2254	294.333	counted	exit	77.1	5	train.py
1789529134	2322	316.021	uncounted	exit	82.3	5	explore13.py
1789529325	2374	684.959	uncounted	exit	177.7	10	explore14.py
1789529327	2406	0.053	uncounted	exit	0.0	0	-
1789529577	2408	974.130	uncounted	exit	250.0	15	explore14.py
1789529593	2477	1.729	uncounted	exit	1.1	0	explore15.py
1789529595	2503	0.046	uncounted	exit	0.0	0	-
1789529596	2505	1.895	uncounted	exit	1.2	0	explore15.py
1789529602	2535	0.049	uncounted	exit	0.0	0	-
1789529684	2537	320.038	uncounted	exit	82.5	5	explore15.py
1789529792	2629	323.632	counted	exit	83.5	5	train.py
1789529798	2673	0.047	uncounted	exit	0.0	0	-
1789529892	2690	361.186	counted	exit	94.2	6	train.py
1789529946	2739	183.017	uncounted	exit	47.1	3	-
1789529951	2776	0.050	uncounted	exit	0.0	0	-
1789530046	2793	371.139	counted	exit	95.4	6	train.py
1789530052	2844	0.048	uncounted	exit	0.0	0	-
1789530156	2862	397.071	counted	exit	103.2	6	train.py
1789530161	2910	0.042	uncounted	exit	0.0	0	-
1789530270	2927	421.515	counted	exit	109.6	6	train.py
1789530279	2976	0.045	uncounted	exit	0.0	0	-
1789530279	2994	0.052	counted	exit	0.0	0	train.py
1789530283	3047	0.049	uncounted	exit	0.0	0	-
1789530390	3064	410.885	counted	exit	106.5	6	train.py
1789530393	3112	0.046	uncounted	exit	0.0	0	-
1789530501	3129	415.446	counted	exit	107.7	6	train.py
1789530507	3177	0.053	uncounted	exit	0.0	0	-
1789530615	3194	416.340	counted	exit	107.9	6	train.py
1789530621	3242	0.043	uncounted	exit	0.0	0	-
1789530733	3259	431.620	counted	exit	112.8	6	train.py
1789530851	3332	433.479	exempt	exit	113.6	6	validate.py
