ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789487157	54	5.250	counted	exit	3.7	1	train.py
1789487168	80	0.789	uncounted	exit	0.4	0	-
1789487187	85	1.553	uncounted	exit	0.8	0	-c
1789487244	114	42.762	counted	exit	12.1	1	train.py
1789487269	154	52.776	counted	exit	14.4	1	train.py
1789487295	195	48.800	counted	exit	13.5	1	train.py
1789487327	235	91.322	counted	exit	24.4	2	train.py
1789487331	261	0.047	uncounted	exit	0.0	0	-
1789487358	278	99.645	counted	exit	26.5	2	train.py
1789487422	320	221.193	counted	exit	57.4	2	train.py
1789487464	365	98.913	counted	exit	26.4	2	train.py
1789487509	409	105.715	counted	exit	28.2	2	train.py
1789487547	452	86.600	counted	exit	23.0	2	train.py
1789487626	493	251.281	counted	exit	66.4	5	train.py
1789487711	533	284.300	counted	exit	75.4	5	train.py
1789487834	575	447.838	counted	exit	116.4	5	train.py
1789487935	617	356.814	counted	exit	92.5	7	train.py
1789488050	657	414.677	counted	exit	108.2	7	train.py
1789488169	702	384.654	counted	exit	101.2	7	train.py
1789488295	742	461.832	counted	term	120.0	6	train.py
1789488413	786	428.683	counted	exit	110.0	7	train.py
1789488520	831	361.880	counted	exit	94.6	6	train.py
1789488625	871	362.813	counted	exit	96.4	6	train.py
1789488634	901	0.047	uncounted	exit	0.0	0	-c
1789488754	918	467.727	counted	term	120.0	5	train.py
1789488865	959	370.880	counted	exit	98.1	6	train.py
1789488871	987	0.048	uncounted	exit	0.0	0	/tmp/spec_patch.py
1789488991	1004	452.113	counted	exit	119.5	8	train.py
1789488994	1031	0.048	uncounted	exit	0.0	0	-
1789489075	1048	303.825	counted	exit	80.9	6	train.py
1789489082	1074	0.041	uncounted	exit	0.0	0	-
1789489167	1091	324.554	counted	exit	83.9	6	train.py
1789489176	1118	0.045	uncounted	exit	0.0	0	-
1789489267	1135	344.380	counted	exit	90.5	6	train.py
1789489279	1161	0.044	uncounted	exit	0.0	0	-
1789489400	1178	465.580	counted	term	121.0	7	train.py
1789489406	1203	0.045	uncounted	exit	0.0	0	-
1789489520	1220	436.123	counted	exit	113.8	7	train.py
1789489527	1246	0.044	uncounted	exit	0.0	0	-
1789489643	1263	445.701	counted	exit	116.4	7	train.py
1789489648	1289	0.043	uncounted	exit	0.0	0	-
1789489739	1306	346.700	counted	exit	90.6	6	train.py
1789489743	1332	0.044	uncounted	exit	0.0	0	-
1789489866	1353	454.736	counted	exit	119.0	7	train.py
1789489870	1379	0.048	uncounted	exit	0.0	0	-
1789489874	1387	0.041	uncounted	exit	0.0	0	-
1789489986	1404	434.701	counted	exit	112.6	6	train.py
1789489995	1430	0.056	uncounted	exit	0.0	0	-
1789490112	1454	407.144	counted	exit	105.4	6	train.py
1789490118	1480	0.737	uncounted	exit	0.3	0	-
1789490227	1502	409.296	counted	exit	106.4	6	train.py
1789490231	1528	0.051	uncounted	exit	0.0	0	-
1789490341	1545	426.598	counted	exit	109.6	7	train.py
1789490345	1570	0.045	uncounted	exit	0.0	0	-
1789490445	1587	382.654	counted	exit	99.9	7	train.py
1789490451	1613	0.045	uncounted	exit	0.0	0	-
1789490561	1630	425.880	counted	exit	110.3	7	train.py
1789490677	1672	431.407	counted	exit	112.0	7	train.py
1789490681	1698	0.046	uncounted	exit	0.0	0	-
1789490787	1715	409.219	counted	exit	105.9	7	train.py
1789490919	1743	494.223	exempt	exit	129.4	7	validate.py
1789490925	1756	0.048	uncounted	exit	0.0	0	-
1789491031	1773	408.926	counted	exit	106.4	7	train.py
1789491163	1801	485.356	exempt	exit	128.6	7	validate.py
