ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789509967	107	0.038	uncounted	exit	0.0	0	-c
1789509967	109	0.038	uncounted	exit	0.0	0	-c
1789509967	111	0.036	uncounted	exit	0.0	0	-m --version
1789509967	113	0.033	uncounted	exit	0.0	0	-c
1789510007	233	5.047	counted	exit	3.6	1	train.py
1789510068	309	0.042	uncounted	exit	0.0	0	-c
1789510069	311	0.038	uncounted	exit	0.0	0	-c
1789510069	313	0.048	uncounted	exit	0.0	0	-c
1789510078	375	1.940	counted	exit	1.2	0	train.py
1789510099	536	20.806	counted	exit	7.0	1	train.py
1789510135	802	2.391	counted	exit	1.9	0	train.py
1789510147	963	1.334	counted	exit	1.1	0	train.py
1789510160	1136	1.247	counted	exit	1.0	0	train.py
1789510265	1246	258.504	counted	exit	97.8	1	train.py
1789510295	1411	33.087	counted	exit	10.9	1	train.py
1789510316	1526	31.655	counted	exit	9.4	1	train.py
1789510326	1638	1.910	counted	exit	1.2	0	train.py
1789510441	1748	311.957	counted	exit	106.5	1	train.py
1789510489	1878	115.030	counted	exit	33.5	3	train.py
1789510513	1991	34.306	counted	exit	10.3	1	train.py
1789510543	2208	30.505	counted	exit	9.4	1	train.py
1789510568	2320	32.748	counted	exit	9.9	1	train.py
1789510582	2432	32.941	counted	exit	9.9	1	train.py
1789510623	2599	68.906	counted	exit	19.1	5	train.py
1789510644	2814	34.902	counted	exit	10.6	6	train.py
1789510670	2942	32.307	counted	exit	9.8	1	train.py
1789510686	3054	29.485	counted	exit	9.1	1	train.py
1789510705	3166	34.691	counted	exit	10.4	1	train.py
1789510720	3268	33.807	counted	exit	10.1	1	train.py
1789510736	3370	39.052	counted	exit	11.4	1	train.py
1789510757	3472	54.127	counted	exit	15.4	1	train.py
1789510777	3574	52.420	counted	exit	14.7	1	train.py
1789510801	3676	63.266	counted	exit	17.6	1	train.py
1789510825	3778	65.065	counted	exit	18.0	1	train.py
1789510852	3880	72.530	counted	exit	20.0	1	train.py
1789510877	3982	53.931	counted	exit	15.2	1	train.py
1789510895	4094	39.036	counted	exit	11.5	1	train.py
1789510920	4206	70.621	counted	exit	19.4	1	train.py
1789510952	4318	70.962	counted	exit	19.5	1	train.py
1789510984	4420	98.752	counted	exit	27.0	1	train.py
1789511015	4522	91.603	counted	exit	24.7	1	train.py
1789511067	4624	171.647	counted	exit	45.5	1	train.py
1789511126	4727	179.186	counted	exit	46.7	1	train.py
1789511184	4840	189.031	counted	exit	49.4	1	train.py
1789511238	4953	175.293	counted	exit	46.0	1	train.py
1789511340	5068	300.229	counted	exit	78.4	2	train.py
1789511392	5181	128.577	counted	exit	34.5	1	train.py
1789511450	5244	184.942	exempt	exit	49.1	1	validate.py
