ts	pid	kind	api	rows	seconds
1789520857	54	counted	train	100000	0.15
1789520872	102	counted	train	100000	2.69
1789520895	151	counted	train	100000	0.29
1789520931	191	counted	train	100000	0.15
1789520934	233	counted	train	100000	0.33
1789520942	278	counted	train	100000	0.49
1789520946	319	counted	train	100000	0.90
1789520951	360	counted	train	100000	1.48
1789520957	401	counted	train	100000	3.36
1789520968	442	counted	train	100000	7.15
1789520982	484	counted	train	100000	6.36
1789520991	526	counted	train	100000	4.86
1789520998	568	counted	train	100000	3.05
1789521015	612	counted	train	100000	3.32
1789521030	654	counted	train	100000	3.21
1789521033	654	counted	train	100000	3.09
1789521036	654	counted	train	100000	3.01
1789521039	654	counted	train	100000	3.21
1789521043	654	counted	train	100000	3.30
1789521058	697	counted	train	100000	3.53
1789521071	739	counted	train	100000	6.32
1789521086	780	counted	train	100000	10.28
1789521110	821	counted	train	100000	18.91
1789521167	862	counted	train	100000	48.14
1789521217	907	counted	train	100000	28.05
1789521250	949	counted	train	100000	19.91
1789521278	991	counted	train	100000	18.09
1789521303	1032	counted	train	100000	17.62
1789521328	1073	counted	train	100000	16.17
1789521354	1114	counted	train	100000	17.94
1789521379	1155	counted	train	100000	16.63
1789521406	1197	counted	train	100000	19.02
1789521443	1239	counted	train	100000	25.97
1789521476	1282	counted	train	100000	17.79
1789521503	1324	counted	train	100000	15.71
1789521531	1366	counted	train	100000	20.46
1789521565	1407	counted	train	100000	23.23
1789521619	1448	counted	train	100000	39.70
1789521689	1490	counted	train	100000	22.89
1789521728	1532	counted	train	100000	27.69
1789521784	1574	counted	train	100000	34.92
1789521804	1574	counted	train	100000	19.61
1789521824	1574	counted	train	100000	19.92
1789521873	1615	counted	train	100000	15.38
1789521888	1615	counted	train	100000	15.24
1789521904	1615	counted	train	100000	15.60
1789521919	1615	counted	train	100000	15.53
1789521960	1656	counted	train	100000	10.32
1789521971	1656	counted	train	100000	10.81
1789521982	1656	counted	train	100000	10.83
1789521993	1656	counted	train	100000	11.20
1789522004	1656	counted	train	100000	11.00
1789522015	1656	counted	train	100000	10.70
1789522061	1698	counted	train	100000	11.52
1789522073	1698	counted	train	100000	11.93
1789522085	1698	counted	train	100000	12.02
1789522098	1698	counted	train	100000	13.07
1789522111	1698	counted	train	100000	13.00
1789522163	1728	exempt	train	100000	15.38
1789522178	1728	exempt	train	100000	15.21
1789522194	1728	exempt	train	100000	15.76
1789522209	1728	exempt	train	100000	15.52
