ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789626993	128	1.541	uncounted	exit	1.3	0	-c
1789626998	178	4.167	counted	exit	2.7	1	train.py
1789627025	306	6.736	counted	exit	2.3	1	train.py
1789627074	404	8.600	counted	exit	2.9	1	train.py
1789627109	502	10.810	counted	exit	3.5	1	train.py
1789627208	584	12.524	counted	exit	3.8	1	train.py
1789627353	695	9.105	counted	exit	3.0	1	train.py
1789627423	796	10.216	counted	exit	3.1	1	train.py
1789627488	919	6.396	counted	exit	2.2	1	train.py
1789627558	1037	19.103	counted	exit	5.4	2	train.py
1789627600	1136	44.975	counted	exit	11.9	5	train.py
1789627648	1205	0.794	uncounted	exit	0.4	0	-
1789627723	1266	89.122	counted	exit	23.2	10	train.py
1789627937	1385	7.264	counted	exit	2.4	1	train.py
1789627950	1462	7.351	counted	exit	2.4	1	train.py
1789628084	1566	8.726	counted	exit	2.8	1	train.py
1789628153	1645	10.671	counted	exit	3.3	1	train.py
1789628164	1723	15.364	counted	exit	4.5	1	train.py
1789628234	1818	32.358	counted	exit	9.3	1	train.py
1789628310	1915	42.323	counted	exit	11.7	1	train.py
1789628330	1994	52.956	counted	exit	14.5	1	train.py
1789628380	2076	69.663	counted	exit	19.3	1	train.py
1789628423	2156	137.810	counted	exit	36.6	1	train.py
1789628532	2265	29.317	counted	exit	8.2	1	train.py
1789628658	2371	81.211	counted	exit	21.8	1	train.py
1789629023	2490	89.678	counted	exit	24.6	1	train.py
1789629245	2602	82.224	counted	exit	22.1	1	train.py
1789629458	2712	71.800	counted	exit	20.2	1	train.py
1789629493	2791	88.121	counted	exit	24.8	1	train.py
1789629637	2926	121.617	counted	exit	31.9	1	train.py
1789629974	3074	106.726	counted	exit	28.5	1	train.py
1789630083	3182	61.538	counted	exit	16.7	1	train.py
1789630174	3286	87.142	counted	exit	23.5	1	train.py
1789630312	3372	81.690	counted	exit	21.9	1	train.py
1789630378	3481	77.044	counted	exit	21.2	1	train.py
1789630560	3590	100.320	counted	exit	27.3	1	train.py
1789630614	3697	107.897	counted	exit	28.5	1	train.py
1789630650	3807	92.833	counted	exit	25.3	1	train.py
1789630772	3892	206.320	counted	exit	55.9	3	train.py
1789630814	3993	118.881	counted	exit	31.9	1	train.py
1789630848	4095	102.016	counted	exit	27.6	1	train.py
1789630963	4204	60.878	counted	exit	16.8	1	train.py
1789631088	4306	105.008	exempt	exit	28.9	1	validate.py
