ts	pid	kind	api	rows	seconds
1789617128	206	counted	train	100000	0.16
1789617496	362	counted	train	100000	0.72
1789617648	498	counted	train	100000	14.20
1789617714	600	counted	train	100000	2.53
1789617866	747	counted	train	100000	1.42
1789618383	936	counted	train	100000	1.70
1789618759	1037	uncounted	train	100000	1.89
1789618761	1037	uncounted	train	100000	1.17
1789619165	1143	counted	train	100000	4.16
1789619711	1264	counted	train	100000	9.86
1789619829	1394	counted	train	100000	7.64
1789620023	1522	counted	train	100000	6.91
1789620144	1646	counted	train	100000	7.28
1789620205	1737	uncounted	train	100000	6.74
1789620213	1737	uncounted	train	100000	7.03
1789620220	1737	uncounted	train	100000	6.47
1789620228	1737	uncounted	train	100000	7.09
1789620235	1737	uncounted	train	100000	7.41
1789620242	1737	uncounted	train	100000	6.54
1789620252	1737	uncounted	train	100000	9.08
1789620259	1737	uncounted	train	100000	6.70
1789620265	1737	uncounted	train	100000	5.87
1789620273	1737	uncounted	train	100000	7.41
1789620817	1854	counted	train	100000	8.15
1789620824	1854	counted	train	100000	6.81
1789620832	1854	counted	train	100000	7.53
1789620839	1854	counted	train	100000	6.31
1789620846	1854	counted	train	100000	6.58
1789621201	1973	counted	train	100000	8.59
1789621209	1973	counted	train	100000	7.61
1789621217	1973	counted	train	100000	7.52
1789621224	1973	counted	train	100000	6.50
1789621231	1973	counted	train	100000	6.65
1789621238	1973	counted	train	100000	6.65
1789621247	1973	counted	train	100000	7.90
1789621254	1973	counted	train	100000	7.06
1789622026	2304	counted	train	100000	5.67
1789622032	2304	counted	train	100000	5.58
1789622039	2304	counted	train	100000	6.85
1789622046	2304	counted	train	100000	6.16
1789622051	2304	counted	train	100000	5.09
1789622296	2401	uncounted	train	100000	8.76
1789622304	2401	uncounted	train	100000	6.90
1789622311	2401	uncounted	train	100000	7.26
1789622318	2401	uncounted	train	100000	6.40
1789622325	2401	uncounted	train	100000	6.36
1789622337	2401	uncounted	train	100000	8.46
1789622351	2401	uncounted	train	100000	13.96
1789622360	2401	uncounted	train	100000	8.45
1789622372	2401	uncounted	train	100000	10.95
1789622380	2401	uncounted	train	100000	8.18
1789622389	2401	uncounted	train	100000	7.88
1789622396	2401	uncounted	train	100000	6.56
1789622600	2499	counted	train	100000	14.05
1789622611	2499	counted	train	100000	10.54
1789622623	2499	counted	train	100000	10.65
1789622637	2499	counted	train	100000	13.34
1789622646	2499	counted	train	100000	8.82
1789622699	2582	counted	train	100000	13.31
1789622711	2582	counted	train	100000	10.97
1789622722	2582	counted	train	100000	10.69
1789622737	2582	counted	train	100000	14.51
1789622750	2582	counted	train	100000	12.56
1789623114	2753	counted	train	100000	12.83
1789623126	2753	counted	train	100000	11.57
1789623144	2753	counted	train	100000	17.65
1789623163	2753	counted	train	100000	17.73
1789623176	2753	counted	train	100000	12.63
1789623525	2853	uncounted	train	100000	13.73
1789623537	2853	uncounted	train	100000	11.38
1789623549	2853	uncounted	train	100000	11.10
1789623564	2853	uncounted	train	100000	14.21
1789623577	2853	uncounted	train	100000	12.64
1789623594	2853	uncounted	train	100000	13.43
1789623603	2853	uncounted	train	100000	7.88
1789623610	2853	uncounted	train	100000	6.59
1789623624	2853	uncounted	train	100000	13.94
1789623634	2853	uncounted	train	100000	9.25
1789624018	3011	counted	train	100000	5.00
1789624024	3011	counted	train	100000	4.54
1789624030	3011	counted	train	100000	5.44
1789624035	3011	counted	train	100000	4.45
1789624042	3011	counted	train	100000	5.78
1789624142	3099	uncounted	train	100000	5.22
1789624147	3099	uncounted	train	100000	4.58
1789624153	3099	uncounted	train	100000	5.47
1789624159	3099	uncounted	train	100000	4.52
1789624165	3099	uncounted	train	100000	5.77
1789624173	3099	uncounted	train	100000	5.14
1789624179	3099	uncounted	train	100000	5.17
1789624185	3099	uncounted	train	100000	5.17
1789624191	3099	uncounted	train	100000	5.57
1789624197	3099	uncounted	train	100000	5.43
1789624201	3099	uncounted	train	100000	3.96
1789624549	3279	counted	train	100000	4.93
1789624555	3279	counted	train	100000	5.37
1789624561	3279	counted	train	100000	5.21
1789624567	3279	counted	train	100000	5.11
1789624573	3279	counted	train	100000	5.03
1789624827	3355	uncounted	train	100000	4.82
1789624833	3355	uncounted	train	100000	5.05
