ts	pid	kind	api	rows	seconds
1789606708	197	counted	train	100000	0.15
1789607563	402	counted	train	100000	5.77
1789607738	558	counted	train	100000	10.63
1789607962	739	counted	train	100000	6.92
1789608255	842	counted	train	80000	13.63
1789608268	842	counted	train	100000	12.35
1789608448	911	counted	train	100000	14.87
1789609253	996	uncounted	train	100000	5.93
1789609260	996	uncounted	train	100000	5.99
1789609268	996	uncounted	train	100000	6.58
1789609272	996	uncounted	train	100000	3.03
1789609284	996	uncounted	train	100000	11.52
1789609295	996	uncounted	train	100000	6.65
1789609305	996	uncounted	train	100000	8.78
1789609312	996	uncounted	train	100000	5.46
1789609317	996	uncounted	train	100000	4.68
1789609327	996	uncounted	train	100000	8.65
1789609514	1088	counted	train	100000	7.17
1789609653	1123	uncounted	train	100000	7.19
1789609710	1145	uncounted	train	100000	6.47
1789609717	1145	uncounted	train	100000	6.00
1789609726	1145	uncounted	train	100000	6.82
1789609734	1145	uncounted	train	100000	7.32
1789609743	1145	uncounted	train	100000	6.50
1789609751	1145	uncounted	train	100000	6.99
1789609760	1145	uncounted	train	100000	7.52
1789609768	1145	uncounted	train	100000	6.99
1789609777	1145	uncounted	train	100000	7.21
1789609782	1145	uncounted	train	100000	4.12
1789609788	1145	uncounted	train	100000	5.31
1789609802	1145	uncounted	train	100000	13.00
1789609818	1145	uncounted	train	100000	10.39
1789609978	1202	counted	train	100000	10.87
1789610024	1237	uncounted	train	100000	9.83
1789610037	1237	uncounted	train	100000	10.52
1789610050	1237	uncounted	train	100000	9.97
1789610062	1237	uncounted	train	100000	10.48
1789610074	1237	uncounted	train	100000	9.03
1789610086	1237	uncounted	train	100000	9.77
1789610099	1237	uncounted	train	100000	9.81
1789610111	1237	uncounted	train	100000	9.50
1789610123	1237	uncounted	train	100000	9.06
1789610133	1237	uncounted	train	100000	7.83
1789610152	1237	uncounted	train	100000	18.26
1789610176	1237	uncounted	train	100000	15.97
1789610188	1237	uncounted	train	100000	8.07
1789610205	1277	counted	train	100000	9.75
1789610228	1311	uncounted	train	100000	8.45
1789610239	1311	uncounted	train	100000	8.69
1789610251	1311	uncounted	train	100000	10.02
1789610263	1311	uncounted	train	100000	9.64
1789610275	1311	uncounted	train	100000	9.29
1789610318	1333	uncounted	train	100000	10.55
1789610331	1333	uncounted	train	100000	9.97
1789610349	1333	uncounted	train	100000	14.92
1789610362	1333	uncounted	train	100000	10.47
1789610487	1476	counted	train	100000	14.32
1789610732	1512	uncounted	train	100000	15.23
1789610755	1512	uncounted	train	100000	19.66
1789610779	1512	uncounted	train	100000	18.81
1789610811	1512	uncounted	train	100000	29.77
1789610848	1512	uncounted	train	100000	29.06
1789610872	1512	uncounted	train	100000	18.33
1789610895	1512	uncounted	train	100000	18.77
1789610955	1538	uncounted	train	100000	15.43
1789610975	1538	uncounted	train	100000	16.25
1789610994	1538	uncounted	train	100000	15.41
1789611014	1538	uncounted	train	100000	16.07
1789611033	1538	uncounted	train	100000	15.65
1789611051	1538	uncounted	train	100000	14.62
1789611070	1538	uncounted	train	100000	14.35
1789611089	1538	uncounted	train	100000	15.65
1789611107	1538	uncounted	train	100000	15.47
1789611127	1538	uncounted	train	100000	16.48
1789611245	1649	counted	train	100000	13.55
1789611260	1649	counted	train	100000	14.43
1789611276	1649	counted	train	100000	15.60
1789611292	1649	counted	train	100000	16.53
1789611331	1685	uncounted	train	100000	12.90
1789611349	1685	uncounted	train	100000	14.90
1789611368	1685	uncounted	train	100000	15.46
1789611387	1685	uncounted	train	100000	16.42
1789611405	1685	uncounted	train	100000	14.08
1789611424	1685	uncounted	train	100000	15.37
1789611443	1685	uncounted	train	100000	16.10
1789611463	1685	uncounted	train	100000	16.29
1789611475	1685	uncounted	train	100000	8.12
1789611485	1685	uncounted	train	100000	8.26
1789611494	1685	uncounted	train	100000	7.28
1789611504	1685	uncounted	train	100000	8.79
1789611528	1685	uncounted	train	100000	22.50
1789611560	1685	uncounted	train	100000	24.34
1789611593	1685	uncounted	train	100000	24.82
1789611628	1685	uncounted	train	100000	27.70
1789611654	1685	uncounted	train	100000	19.64
1789611681	1685	uncounted	train	100000	21.91
1789611709	1685	uncounted	train	100000	22.62
1789611738	1685	uncounted	train	100000	23.69
1789611757	1685	uncounted	train	100000	13.32
1789611774	1685	uncounted	train	100000	14.30
1789611792	1685	uncounted	train	100000	14.43
1789611811	1685	uncounted	train	100000	16.15
1789611827	1685	uncounted	train	100000	13.18
