ts	pid	cpu_s	kind	event	wall_s	fits	argv
1789594233	44	5.761	counted	exit	4.2	1	train.py
1789594271	71	1.485	uncounted	exit	0.8	0	-c
1789594296	106	1.854	counted	exit	1.2	0	train.py
1789594305	146	21.646	counted	exit	6.3	2	train.py
1789594341	171	79.172	uncounted	exit	20.8	2	diag1.py
1789594436	184	101.685	uncounted	exit	26.7	10	diag2.py
1789594505	197	235.885	uncounted	exit	60.4	11	diag3.py
1789594669	210	580.917	uncounted	exit	147.3	10	diag4.py
1789594939	223	485.985	uncounted	exit	124.0	10	diag5.py
1789594974	253	56.067	counted	exit	14.8	1	train.py
1789595133	278	555.317	uncounted	exit	140.4	14	diag6.py
1789595145	291	1.498	uncounted	exit	0.8	0	diag7.py
1789595255	301	407.715	uncounted	exit	106.9	13	diag7.py
1789595680	314	1125.831	uncounted	exit	302.8	22	diag8.py
1789596356	329	1776.750	uncounted	exit	470.8	25	diag9.py
1789596436	342	1.505	uncounted	exit	1.0	0	diag10.py
1789596448	352	0.654	uncounted	exit	0.3	0	-
1789596457	358	0.672	uncounted	exit	0.3	0	-
1789596621	364	1.448	uncounted	exit	1.0	0	diag10.py
1789596727	376	0.698	uncounted	exit	0.3	0	-
1789596769	383	1.725	uncounted	exit	1.0	0	diag10b.py
1789596776	394	1.682	uncounted	exit	1.0	0	diag10c.py
1789596786	404	1.689	uncounted	exit	1.0	0	diag10b.py
1789596799	415	1.753	uncounted	exit	1.0	0	diag10d.py
1789596868	429	1.708	uncounted	exit	1.0	0	diag10b.py
1789596891	444	1.792	uncounted	exit	1.1	0	diag10e.py
1789596914	455	1.791	uncounted	exit	1.1	0	diag10f.py
1789596931	466	1.695	uncounted	exit	1.0	0	diag10g.py
1789596972	482	1.816	uncounted	exit	1.1	0	diag10h.py
1789597002	492	0.680	uncounted	exit	0.3	0	-
1789597056	502	1.739	uncounted	exit	1.0	0	diag10i.py
1789597071	512	1.685	uncounted	exit	1.0	0	diag10i.py
1789597076	522	1.751	uncounted	exit	1.0	0	diag10i.py
1789597084	532	1.742	uncounted	exit	1.0	0	diag10i.py
1789597319	547	0.062	uncounted	exit	0.0	0	-
1789597320	549	1.776	uncounted	exit	1.1	0	diag10j.py
1789597326	559	1.719	uncounted	exit	1.0	0	diag10j.py
1789597497	576	1.625	uncounted	exit	0.9	0	diag10k.py
1789597553	588	1.805	uncounted	exit	1.1	0	diag10l.py
1789597634	598	0.067	uncounted	exit	0.0	0	-
1789597648	600	51.507	uncounted	exit	13.9	1	diag10m.py
1789597696	613	0.069	uncounted	exit	0.0	0	-
1789597711	615	52.659	uncounted	exit	14.3	1	diag10n.py
1789597714	628	0.041	uncounted	exit	0.0	0	-
1789597728	630	52.131	uncounted	exit	14.1	1	diag10o.py
1789598354	652	1211.714	uncounted	exit	319.8	14	diag11.py
1789598682	666	1203.880	uncounted	exit	315.0	9	diag12.py
1789598754	696	130.783	counted	exit	34.5	1	train.py
1789598910	722	331.745	uncounted	exit	86.8	4	diag13.py
1789599214	736	1044.127	uncounted	exit	273.2	9	diag14.py
1789599469	750	527.699	uncounted	exit	136.8	5	diag15.py
1789599698	764	681.586	uncounted	exit	177.6	6	diag16.py
1789599853	778	547.309	uncounted	exit	142.6	6	diag17.py
1789599892	808	122.214	counted	exit	32.3	1	train.py
1789600018	834	387.021	uncounted	exit	103.7	4	diag18.py
1789600149	848	247.147	uncounted	exit	64.8	3	diag19.py
1789600266	878	269.040	counted	exit	72.9	3	train.py
1789600407	920	352.729	counted	exit	94.8	4	train.py
1789600551	962	415.038	counted	exit	108.4	4	train.py
1789600672	1008	421.822	counted	exit	110.7	4	train.py
1789600797	1054	386.329	counted	exit	102.1	4	train.py
1789600916	1096	362.750	counted	exit	97.6	4	train.py
1789601036	1142	388.291	counted	exit	102.0	4	train.py
1789601152	1184	380.830	counted	exit	103.1	5	train.py
1789601288	1230	459.784	counted	term	120.3	5	train.py
1789601392	1276	347.237	counted	exit	92.6	4	train.py
1789601410	1301	0.065	uncounted	exit	0.0	0	-
1789601502	1320	342.157	counted	exit	91.7	4	train.py
1789601546	1346	0.074	uncounted	exit	0.0	0	-
1789601646	1365	374.882	counted	exit	100.0	4	train.py
1789601858	1411	386.386	counted	exit	102.4	5	train.py
1789602167	1457	487.190	counted	term	127.5	5	train.py
1789602311	1489	439.767	exempt	exit	119.6	4	validate.py
