ts	pid	kind	api	rows	seconds
1789619873	53	counted	train	100000	0.12
1789620024	107	counted	train	90000	1.24
1789620024	107	counted	train	100000	0.77
1789620140	148	counted	train	100000	0.93
1789620143	148	counted	train	100000	1.50
1789620147	148	counted	train	100000	2.81
1789620154	148	counted	train	100000	5.24
1789620160	148	counted	train	100000	0.25
1789620202	189	counted	train	100000	0.75
1789620203	189	counted	train	100000	0.50
1789620204	189	counted	train	100000	0.73
1789620205	189	counted	train	100000	0.69
1789620386	234	counted	train	100000	0.20
1789620386	234	counted	train	100000	0.30
1789620387	234	counted	train	100000	0.21
1789620387	234	counted	train	100000	0.34
1789620388	234	counted	train	100000	0.26
1789620388	234	counted	train	100000	0.37
1789620389	234	counted	train	100000	0.26
1789620389	234	counted	train	100000	0.38
1789620390	234	counted	train	100000	0.48
1789620391	234	counted	train	100000	0.69
1789620392	234	counted	train	100000	0.26
1789620392	234	counted	train	100000	0.40
1789620393	234	counted	train	100000	0.27
1789620393	234	counted	train	100000	0.40
1789620566	275	counted	train	100000	0.34
1789620566	275	counted	train	100000	0.33
1789620567	275	counted	train	100000	0.35
1789620567	275	counted	train	100000	0.36
1789620568	275	counted	train	100000	0.36
1789620568	275	counted	train	100000	0.35
1789620569	275	counted	train	100000	0.71
1789620570	275	counted	train	100000	0.73
1789620571	275	counted	train	100000	0.75
1789620573	275	counted	train	100000	1.85
1789620574	275	counted	train	100000	0.99
1789620576	275	counted	train	100000	1.05
1789620576	275	counted	train	100000	0.48
1789620577	275	counted	train	100000	0.60
1789620965	316	counted	train	100000	0.71
1789620966	316	counted	train	100000	0.75
1789620967	316	counted	train	100000	0.71
1789620968	316	counted	train	100000	0.78
1789621199	357	counted	train	100000	0.77
1789621200	357	counted	train	100000	0.80
1789621201	357	counted	train	100000	0.82
1789621203	357	counted	train	100000	0.86
1789621204	357	counted	train	100000	0.83
1789621205	357	counted	train	100000	0.81
1789621206	357	counted	train	100000	0.83
1789621208	357	counted	train	100000	0.90
1789621571	401	counted	train	100000	0.75
1789621573	401	counted	train	100000	0.72
1789621574	401	counted	train	100000	0.75
1789621575	401	counted	train	100000	0.77
1789621576	401	counted	train	100000	0.76
1789621577	401	counted	train	100000	0.77
1789621579	401	counted	train	100000	0.80
1789621580	401	counted	train	100000	0.81
1789621581	401	counted	train	100000	0.82
1789621583	401	counted	train	100000	0.81
1789621584	401	counted	train	100000	0.80
1789621585	401	counted	train	100000	0.83
1789621587	401	counted	train	100000	0.85
1789621787	442	counted	train	100000	0.73
1789621789	442	counted	train	100000	1.08
1789621790	442	counted	train	100000	0.57
1789621791	442	counted	train	100000	1.40
1789621793	442	counted	train	100000	0.74
1789621794	442	counted	train	100000	0.76
1789621795	442	counted	train	100000	0.70
1789621797	442	counted	train	100000	0.95
1789621799	442	counted	train	100000	1.85
1789621800	442	counted	train	100000	0.48
1789621802	442	counted	train	100000	1.26
1789621805	442	counted	train	100000	2.75
1789621807	442	counted	train	100000	0.90
1789621808	442	counted	train	100000	0.72
1789621810	442	counted	train	100000	0.76
1789622014	483	counted	train	100000	0.77
1789622015	483	counted	train	100000	0.78
1789622017	483	counted	train	100000	0.79
1789622018	483	counted	train	100000	0.75
1789622019	483	counted	train	100000	0.75
1789622020	483	counted	train	100000	0.76
1789622021	483	counted	train	100000	0.75
1789622180	524	counted	train	100000	0.70
1789622181	524	counted	train	100000	0.71
1789622183	524	counted	train	100000	0.75
1789622184	524	counted	train	100000	0.73
1789622185	524	counted	train	100000	0.72
1789622186	524	counted	train	100000	0.77
1789622187	524	counted	train	100000	0.76
1789622189	524	counted	train	100000	0.76
1789622190	524	counted	train	100000	0.78
1789622192	524	counted	train	100000	0.73
1789622562	565	counted	train	100000	0.73
1789622564	565	counted	train	100000	0.71
1789622565	565	counted	train	100000	0.73
1789622566	565	counted	train	100000	0.71
1789622568	565	counted	train	100000	0.73
1789622569	565	counted	train	100000	0.71
1789622570	565	counted	train	100000	0.73
1789622571	565	counted	train	100000	0.74
1789622573	565	counted	train	100000	0.76
1789622574	565	counted	train	100000	0.77
1789622575	565	counted	train	100000	0.76
1789622577	565	counted	train	100000	0.72
1789622578	565	counted	train	100000	0.73
1789622780	609	counted	train	100000	0.74
1789622781	609	counted	train	100000	0.69
1789622783	609	counted	train	100000	0.73
1789622979	650	counted	train	100000	0.73
1789622981	650	counted	train	100000	0.74
1789622982	650	counted	train	100000	0.76
1789622984	650	counted	train	100000	0.78
1789622985	650	counted	train	100000	0.76
1789622987	650	counted	train	100000	0.74
1789622989	650	counted	train	100000	1.99
1789622991	650	counted	train	100000	0.84
1789622994	650	counted	train	100000	1.49
1789622996	650	counted	train	100000	0.77
1789622999	650	counted	train	100000	2.31
1789624058	731	counted	train	100000	0.86
1789624059	731	counted	train	100000	0.84
1789624061	731	counted	train	100000	0.83
1789624062	731	counted	train	100000	0.82
1789624064	731	counted	train	100000	0.81
1789624065	731	counted	train	100000	0.82
