study,box,harness,model,seed,compliant,holdout_auc,auc_2006_rescored,auc_2007,seconds,error
study2,var1,hermes,deepseek-4.1-flash,1,True,0.720347907696,0.720348,0.704562,10,
study2,var1,hermes,deepseek-4.1-flash,5,False,0.744190962034,0.743496,0.728591,61,
study2,var1,hermes,deepseek-4.1-flash,4,True,0.7607430038379999,0.760699,0.726226,113,
study2,var1,hermes,deepseek-4.1-flash,2,True,0.74359724266,0.743327,0.731390,125,
study2,var1,hermes,deepseek-4.1-flash,3,True,0.739529933516,0.739559,0.732480,204,
study2,var1,hermes,deepseek-4.1-flash,6,True,0.756399440374,0.756438,0.726168,186,
study2,var1,hermes,deepseek-4.1-flash,8,True,0.7502626601619999,0.750295,0.716598,166,
study2,var1,hermes,deepseek-4.1-flash,11,True,0.7284248637040001,0.728064,0.717142,29,
study2,var1,hermes,deepseek-4.1-flash,9,True,0.7428568093560001,0.742905,0.727061,150,
study2,var1,hermes,deepseek-4.1-flash,10,True,0.73456518634,0.733421,0.710386,116,
study2,var1,hermes,deepseek-4.1-flash,7,True,0.76405085253,0.764063,0.730749,265,
study2,var2,hermes,deepseek-4.1-flash,15,False,0.803630404558,0.803859,0.783073,76,
study2,var2,hermes,deepseek-4.1-flash,14,False,0.776647053484,0.776197,0.773599,107,
study2,var1,hermes,deepseek-4.1-flash,13,True,0.75015976708,0.750231,0.736916,150,
study2,var1,hermes,deepseek-4.1-flash,12,True,0.7436737869379999,0.742946,0.729339,246,
study2,var2,hermes,deepseek-4.1-flash,17,True,0.75502976336,0.754940,0.735684,132,
study2,var2,hermes,deepseek-4.1-flash,18,True,0.74932203146,0.749272,0.718062,114,
study2,var2,hermes,deepseek-4.1-flash,16,True,0.74565149133,0.745543,0.728393,213,
study2,var2,hermes,deepseek-4.1-flash,21,True,0.765944089366,0.766045,0.739280,71,
study2,var2,hermes,deepseek-4.1-flash,19,True,0.7497131786340001,0.749613,0.732659,137,
study2,var2,hermes,deepseek-4.1-flash,24,True,0.724141906882,0.723999,0.726303,106,
study2,var2,hermes,deepseek-4.1-flash,20,True,0.748862156468,0.748964,0.733405,281,
study2,var2,hermes,deepseek-4.1-flash,22,True,0.7483671339,0.748130,0.732855,233,
study2,var2,hermes,deepseek-4.1-flash,23,True,0.7498462803300001,0.749502,0.732825,256,
study2,var2,hermes,deepseek-4.1-flash,25,True,0.730227967412,0.730107,0.729184,166,
study2,var3,hermes,deepseek-4.1-flash,27,True,0.76630549543,0.764528,0.729772,128,
study2,var2,hermes,deepseek-4.1-flash,26,True,0.7546000410520001,0.754376,0.720003,139,
study2,var3,hermes,deepseek-4.1-flash,29,True,0.730504840442,0.730479,0.719147,89,
study2,var3,hermes,deepseek-4.1-flash,30,True,0.7276025870959999,0.727771,0.725308,53,
study2,var3,hermes,deepseek-4.1-flash,33,True,0.754818389666,0.754190,0.725225,127,
study2,var3,hermes,deepseek-4.1-flash,28,True,0.7452009062119999,0.744804,0.721216,307,
study2,var3,hermes,deepseek-4.1-flash,31,True,0.732050991572,0.732051,0.724847,234,
study2,var3,hermes,deepseek-4.1-flash,34,True,0.7370515571759999,0.736967,0.725054,79,
study2,var3,hermes,deepseek-4.1-flash,32,True,0.753492415282,0.753701,0.731962,262,
study2,var3,hermes,deepseek-4.1-flash,36,True,0.731698770902,0.731511,0.730018,94,
study2,var3,hermes,deepseek-4.1-flash,35,True,0.7258355577160001,0.725599,0.725579,137,
study2,var3,hermes,deepseek-4.1-flash,39,True,0.7492438780940001,0.749168,0.724431,159,
study2,var3,hermes,deepseek-4.1-flash,38,True,0.742538225632,0.742610,0.730346,198,
study2,var4,hermes,deepseek-4.1-flash,40,True,0.743053882022,0.742952,0.711095,198,
study2,var3,hermes,deepseek-4.1-flash,37,True,0.735595304002,0.735791,0.727600,354,
study2,var4,hermes,deepseek-4.1-flash,42,True,0.736833327464,0.736800,0.729272,133,
study2,var4,hermes,deepseek-4.1-flash,43,True,0.7476398140320001,0.747393,0.727765,107,
study2,var4,hermes,deepseek-4.1-flash,41,True,0.738642691588,0.738256,0.714935,188,
study2,var4,hermes,deepseek-4.1-flash,47,True,0.7400705501560001,0.740154,0.719527,43,
study2,var4,hermes,deepseek-4.1-flash,45,True,0.7409467300439999,0.740727,0.725529,98,
study2,var4,hermes,deepseek-4.1-flash,48,True,0.745843062918,0.745537,0.726303,42,
study2,var4,hermes,deepseek-4.1-flash,49,True,0.741338703726,0.740602,0.711113,76,
study2,var4,hermes,deepseek-4.1-flash,46,True,0.7395051838059999,0.739597,0.727256,141,
study2,var4,hermes,deepseek-4.1-flash,44,True,0.737823198728,0.738527,0.731701,209,
study2,var1,hermes,glm-5.3-flash,1,True,0.7391197487060001,0.738767,0.725622,63,
study2,var4,hermes,deepseek-4.1-flash,51,True,0.758871290088,0.758834,0.726068,182,
study2,var1,hermes,glm-5.3-flash,2,True,0.728908973952,0.728575,0.721783,101,
study2,var4,hermes,deepseek-4.1-flash,50,True,0.748110929094,0.748262,0.724805,225,
study2,var4,hermes,deepseek-4.1-flash,52,True,0.755038178026,0.754815,0.735434,234,
study2,var1,hermes,glm-5.3-flash,3,True,0.7439810344879999,0.743750,0.720446,98,
study2,var1,hermes,glm-5.3-flash,6,True,0.7333791045720001,0.733319,0.727244,68,
study2,var1,hermes,glm-5.3-flash,8,True,0.720099610284,0.720427,0.718602,10,
study2,var1,hermes,glm-5.3-flash,9,True,0.7188904210260001,0.718739,0.721885,18,
study2,var1,hermes,glm-5.3-flash,4,True,0.753915058492,0.752835,0.731143,208,
study2,var1,hermes,glm-5.3-flash,5,True,0.7449573894279999,0.745007,0.731856,238,
study2,var1,hermes,glm-5.3-flash,11,True,0.72335584216,0.723427,0.723508,49,
study2,var1,hermes,glm-5.3-flash,7,True,0.7352000118140001,0.736345,0.725008,180,
study2,var1,hermes,glm-5.3-flash,10,True,0.73147696521,0.731217,0.723259,176,
study2,var1,hermes,glm-5.3-flash,12,True,0.7461150353699999,0.746042,0.728242,206,
study2,var1,hermes,glm-5.3-flash,13,True,0.747349406688,0.747396,0.726236,226,
study2,var2,hermes,glm-5.3-flash,14,True,0.7289102172799999,0.728834,0.724269,316,
study2,var2,hermes,glm-5.3-flash,17,True,0.744028208156,0.743815,0.720867,116,
study2,var2,hermes,glm-5.3-flash,15,True,0.726893724474,0.726921,0.722731,301,
study2,var2,hermes,glm-5.3-flash,19,True,0.74977475708,0.749788,0.726885,84,
study2,var2,hermes,glm-5.3-flash,18,True,0.7334744900960001,0.733513,0.721134,123,
study2,var2,hermes,glm-5.3-flash,20,True,0.7418650350439999,0.739889,0.723113,240,
study2,var2,hermes,glm-5.3-flash,21,True,0.754265570416,0.754267,0.731332,240,
study2,var2,hermes,glm-5.3-flash,22,True,0.741753545606,0.741764,0.724641,235,
study2,var2,hermes,glm-5.3-flash,25,True,0.7328341880539999,0.732834,0.720553,9,
study2,var2,hermes,glm-5.3-flash,24,True,0.7431483171919999,0.743930,0.726571,51,
study2,var2,hermes,glm-5.3-flash,23,True,0.734434647836,0.733655,0.725037,104,
study2,var2,hermes,glm-5.3-flash,16,True,0.737863436272,0.737674,0.729644,549,
study2,var3,hermes,glm-5.3-flash,28,True,0.721216576986,0.721133,0.723505,88,
study2,var3,hermes,glm-5.3-flash,29,False,0.8059005792039999,0.804405,0.757263,72,
study2,var2,hermes,glm-5.3-flash,26,True,0.731301163388,0.731685,0.727600,145,
study2,var3,hermes,glm-5.3-flash,30,True,0.721522168392,0.721984,0.723961,107,
study2,var3,hermes,glm-5.3-flash,27,False,0.711555991988,0.711423,0.712145,255,
study2,var3,hermes,glm-5.3-flash,32,True,0.751354663756,0.751109,0.726861,157,
study2,var3,hermes,glm-5.3-flash,31,True,0.745232004684,0.744606,0.728147,222,
study2,var3,hermes,glm-5.3-flash,33,True,0.74035107814,0.740090,0.721973,131,
study2,var3,hermes,glm-5.3-flash,34,True,0.727915112944,0.727836,0.726363,172,
study2,var3,hermes,glm-5.3-flash,38,True,0.7154643788780002,0.715464,0.717906,3,
study2,var3,hermes,glm-5.3-flash,35,True,0.745412672524,0.745421,0.725341,201,
study2,var3,hermes,glm-5.3-flash,37,True,0.7427963210640001,0.743405,0.731571,193,
study2,var4,hermes,glm-5.3-flash,40,True,0.747278223446,0.747299,0.716961,94,
study2,var3,hermes,glm-5.3-flash,36,False,0.785453706774,0.787521,0.736095,310,
study2,var4,hermes,glm-5.3-flash,43,True,0.7189069446659999,0.716870,0.711854,6,
study2,var3,hermes,glm-5.3-flash,39,True,0.738780621574,0.738571,0.735156,211,
study2,var4,hermes,glm-5.3-flash,45,True,0.741167560564,0.737974,0.727935,21,
study2,var4,hermes,glm-5.3-flash,41,True,0.7589738519139999,0.758979,0.733965,206,
study2,var4,hermes,glm-5.3-flash,42,True,0.7446055319639999,0.743452,0.733903,148,
study2,var4,hermes,glm-5.3-flash,47,True,0.7223570691360001,0.722413,0.724480,17,
study2,var4,hermes,glm-5.3-flash,44,False,0.8230873127639999,0.823131,0.756959,171,
study2,var4,hermes,glm-5.3-flash,46,True,0.74989035839,0.750141,0.729194,168,
study2,var4,hermes,glm-5.3-flash,48,True,0.7547551003340001,0.754247,0.722375,137,
study2,var4,hermes,glm-5.3-flash,50,True,0.742823205964,0.742631,0.722288,96,
study2,var1,opencode,deepseek-4.1-flash,1,True,0.726980927716,0.726822,0.728380,27,
study2,var4,hermes,glm-5.3-flash,49,False,0.8125037078820001,0.813018,0.745279,192,
study2,var4,hermes,glm-5.3-flash,52,True,0.7305548813779998,0.729967,0.712971,155,
study2,var4,hermes,glm-5.3-flash,51,True,0.754539189698,0.754471,0.730831,261,
study2,var1,opencode,deepseek-4.1-flash,2,True,0.750306058628,0.750626,0.733890,176,
study2,var1,opencode,deepseek-4.1-flash,3,True,0.7387756758380001,0.739012,0.722776,173,
study2,var1,opencode,deepseek-4.1-flash,7,True,0.751744967086,0.751568,0.717724,125,
study2,var1,opencode,deepseek-4.1-flash,4,True,0.746470244164,0.746515,0.718983,214,
study2,var1,opencode,deepseek-4.1-flash,6,True,0.7539260476880001,0.753905,0.727016,139,
study2,var1,opencode,deepseek-4.1-flash,5,True,0.753280052214,0.753321,0.730549,231,
study2,var1,opencode,deepseek-4.1-flash,10,True,0.745035015544,0.745032,0.724783,109,
study2,var1,opencode,deepseek-4.1-flash,8,True,0.750637754402,0.751059,0.738201,177,
study2,var1,opencode,deepseek-4.1-flash,9,True,0.7429800826119999,0.742798,0.728303,180,
study2,var1,opencode,deepseek-4.1-flash,13,True,0.741843073002,0.741509,0.727359,72,
study2,var1,opencode,deepseek-4.1-flash,11,True,0.750439689718,0.750569,0.725198,183,
study2,var2,opencode,deepseek-4.1-flash,14,True,0.7466206465240001,0.746544,0.726551,156,
study2,var2,opencode,deepseek-4.1-flash,15,True,0.7283863178699999,0.728242,0.728788,117,
study2,var1,opencode,deepseek-4.1-flash,12,True,0.746055222336,0.746302,0.725204,349,
study2,var2,opencode,deepseek-4.1-flash,17,True,0.7439576263100001,0.744167,0.737358,145,
study2,var2,opencode,deepseek-4.1-flash,16,True,0.7578078857299999,0.758119,0.731125,218,
study2,var2,opencode,deepseek-4.1-flash,19,True,0.737054242316,0.738420,0.732748,104,
study2,var2,opencode,deepseek-4.1-flash,18,True,0.736497930958,0.735987,0.732003,283,
study2,var2,opencode,deepseek-4.1-flash,20,True,0.752303934782,0.752294,0.723742,169,
study2,var2,opencode,deepseek-4.1-flash,21,True,0.735391344658,0.735694,0.724450,263,
study2,var2,opencode,deepseek-4.1-flash,24,True,0.739418073492,0.739733,0.722082,117,
