dataset,harness,model,family,provider,seed,baseline_auc,holdout_auc,holdout_ap,best_eval_auc,eval_minus_holdout,refit_suspect,provider_error,n_experiments,n_ok,n_timeout,n_crash,fit_seconds,wall_minutes,compute_share,tokens_in,tokens_out,cached_share,cost_usd_list,timed_out,violations,holdout_error,best_commit,best_commit_eval_auc,best_commit_holdout_auc,finalized_best,cpu_budget_seconds,cpu_seconds_python,cpu_seconds_counted,cpu_seconds_uncounted,cpu_seconds_container,cpu_seconds_overhead,cpu_seconds_budgeted,fits_total,fits_uncounted,cpu_refusals,cpu_over_budget,cpu_killed
airline,claude,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,1,0.714770751736,0.72180204516,0.7110390676326455,0.7218,-2.045160000019308e-06,False,,40,38,1,1,1509,34.6,0.728,2720224,43290,0.0,,False,,,,,,,18000,6619.8,6255.0,0.0,6655.8,36.0,6255.0,484,0,0,False,False
airline,claude,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,2,0.714770751736,0.753766943234,0.7419203433107617,0.7528,-0.0009669432339999284,False,,11,10,0,1,457,83.2,0.092,2440628,46476,0.0,,False,,,,,,,18000,18008.5,1970.2,15840.6,18063.0,54.5,17810.8,170,158,0,False,False
airline,claude,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,3,0.714770751736,0.7311534007020001,0.7226694550358739,0.7317,0.000546599297999939,False,,10,10,0,0,129,74.5,0.029,,,,,False,,,,,,,18000,10055.5,313.0,9742.4,13004.8,2949.3,10055.4,627,617,0,False,False
airline,codex,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,1,0.714770751736,0.714770751736,0.7041294810841159,,,False,,0,0,0,0,0,0.0,0.0,,,,,False,,,,,,,18000,,,,,,,,,,,False
airline,codex,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,2,0.714770751736,0.714770751736,0.7041294810841159,,,False,,0,0,0,0,0,0.0,0.0,,,,,False,,,,,,,18000,,,,,,,,,,,False
airline,codex,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,3,0.714770751736,0.714770751736,0.7041294810841159,,,False,,0,0,0,0,0,0.0,0.0,,,,,False,,,,,,,18000,,,,,,,,,,,False
airline,hermes,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,1,0.714770751736,0.750996348552,0.7395848019354276,0.7504,-0.0005963485520000811,False,,31,30,0,1,1519,96.4,0.263,15180213,104942,0.0,,False,,,,,,,18000,17490.6,5552.1,11563.4,17602.9,112.3,17115.5,1458,1070,0,False,False
airline,hermes,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,2,0.714770751736,0.724180331318,0.7127013977827595,0.7235,-0.0006803313179999382,False,,40,39,0,1,268,12.4,0.361,4536807,53174,0.0,,False,,,,,,,18000,1005.0,907.6,54.6,1071.7,66.7,962.2,85,4,0,False,False
airline,hermes,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,3,0.714770751736,0.7482597505839998,0.7423382987277907,0.7473,-0.0009597505839998854,False,,40,39,1,0,1116,29.9,0.623,6690109,47325,0.0,,False,,,,,,,18000,5092.2,4599.7,0.3,5163.8,71.6,4600.0,69,0,0,False,False
airline,openclaw,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,1,0.714770751736,0.720817152064,0.7092713524920171,0.7205,-0.0003171520639999592,False,,13,10,1,2,122,25.5,0.08,10479600,67973,0.0,,False,,,,,,,18000,3900.5,756.2,3144.3,3851.5,-49.0,3900.5,166,137,0,False,False
airline,openclaw,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,2,0.714770751736,0.7210155930400001,0.7109019860533522,0.7202,-0.0008155930400001177,False,,40,39,0,1,822,20.7,0.662,3621745,31037,0.0,,False,,,,,,,18000,3258.8,3041.9,1.5,3299.7,40.9,3043.4,174,0,0,False,False
airline,openclaw,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,3,0.714770751736,0.724875227876,0.7176088134149349,0.7248,-7.52278760000058e-05,False,,40,39,0,1,220,9.2,0.397,5130679,36769,0.0,,False,,,,,,,18000,745.1,713.1,0.9,787.9,42.8,714.0,44,0,0,False,False
airline,opencode,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,1,0.714770751736,0.735645234864,0.7288090359990126,0.735,-0.0006452348640000327,False,,40,39,0,1,1100,24.8,0.738,6144158,22572,0.0,,False,,,,,,,18000,4231.2,4078.9,0.8,4424.7,193.5,4079.7,104,0,0,False,False
airline,opencode,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,2,0.714770751736,0.719992630788,0.7102012899001664,0.7198,-0.00019263078800002553,False,,40,38,0,2,611,18.5,0.55,4717125,21624,0.0,,False,,,,,,,18000,2461.6,2259.2,7.0,2655.8,194.2,2266.2,124,1,0,False,False
airline,opencode,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,3,0.714770751736,0.762963112722,0.7518253716748656,0.7623,-0.0006631127220000366,False,,38,38,0,0,2212,88.9,0.415,8448573,34044,0.0,,False,,,,,,,18000,18309.4,8370.4,9527.1,18622.5,313.1,17897.5,250,125,0,False,False
airline,pi,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,1,0.714770751736,0.756644891668,0.7479740567118668,0.756,-0.0006448916679999694,False,,40,38,2,0,2807,58.7,0.797,3347167,47617,0.0,,False,,,,,,,18000,12168.8,11725.0,2.3,12188.1,19.3,11727.3,116,0,0,False,False
airline,pi,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,2,0.714770751736,0.755796446606,0.7468646598272224,0.7564,0.0006035533939999782,False,,18,18,0,0,922,88.8,0.173,4686077,77896,0.0,,False,,,,,,,18000,18381.6,17961.7,0.0,18404.4,22.8,17961.7,295,0,1,False,False
airline,pi,deepseek-4.1-flash,deepseek-4.1-flash,lunaroute,3,0.714770751736,0.7610136425,0.7516233553875714,0.7605,-0.0005136425000000777,False,,20,20,0,0,987,82.3,0.2,3956643,66220,0.0,,False,,,,,,,18000,16840.7,3764.0,12692.2,16862.8,22.1,16456.2,244,179,0,False,False
airline,claude,glm-5.3,glm-5.3,lunaroute,1,0.714770751736,0.724282115692,0.7163287441652648,0.7242,-8.211569200000657e-05,False,,6,6,0,0,53,40.6,0.022,,,,,False,,,,,,,18000,6084.1,167.9,5916.2,8041.1,1957.0,6084.1,363,349,0,False,False
airline,claude,glm-5.3,glm-5.3,lunaroute,2,0.714770751736,0.733856389058,0.7247176034333584,0.7322,-0.0016563890580000296,False,,40,34,4,2,1886,48.6,0.646,4849148,39227,0.973,1.5805,False,,,,,,,18000,9326.2,9187.8,11.9,9382.8,56.6,9199.7,156,0,0,False,False
airline,claude,glm-5.3,glm-5.3,lunaroute,3,0.714770751736,0.7480508472279999,0.7413967906873669,0.7488,0.0007491527720001612,False,,10,6,0,4,210,89.1,0.039,5697191,73386,0.994,1.8464,False,,,,,,,18000,18402.9,844.7,17172.2,18480.9,78.0,18016.9,502,481,0,True,False
airline,codex,glm-5.3,glm-5.3,lunaroute,1,0.714770751736,0.721154830044,0.711093846597165,0.7214,0.0002451699559999909,False,,40,33,0,7,153,8.2,0.31,1714435,30328,0.974,0.6303,False,,,,,,,18000,420.9,408.3,1.9,433.2,12.3,410.2,43,0,0,False,False
airline,codex,glm-5.3,glm-5.3,lunaroute,2,0.714770751736,0.718311476092,0.7079931003860078,0.7177,-0.0006114760919999629,False,,40,37,0,3,255,15.7,0.271,1996340,30939,0.949,0.7709,False,,,,,,,18000,908.3,843.1,1.7,864.7,-43.6,844.8,696,0,0,False,False
airline,codex,glm-5.3,glm-5.3,lunaroute,3,0.714770751736,0.7182827578600001,0.708473528293531,0.7178,-0.0004827578600000715,False,,40,36,0,4,143,6.8,0.349,1593796,26612,0.988,0.5537,False,,,,,,,18000,356.5,309.5,0.0,350.4,-6.1,309.5,103,0,0,False,False
airline,hermes,glm-5.3,glm-5.3,lunaroute,1,0.714770751736,0.746721130828,0.7360606453607278,0.7462,-0.0005211308279999827,False,,11,11,0,0,684,89.5,0.127,4814255,59283,0.971,1.6728,False,,,,,,,18000,17879.2,2583.3,14829.8,18006.4,127.2,17413.1,408,363,0,False,False
airline,hermes,glm-5.3,glm-5.3,lunaroute,2,0.714770751736,0.7495348802659999,0.7380581039472798,0.7481,-0.001434880265999916,False,,22,22,0,0,861,157.9,0.091,14953467,104833,0.994,4.4595,False,,,,,,,18000,17870.0,3223.3,13972.0,18163.3,293.3,17195.3,582,471,0,False,False
airline,hermes,glm-5.3,glm-5.3,lunaroute,3,0.714770751736,0.740607982392,0.7260969324852637,0.7399,-0.0007079823919999839,False,,12,11,0,1,230,84.3,0.045,3629187,72115,0.948,1.477,False,,,,,,,18000,8195.9,821.1,7312.3,8304.8,108.9,8133.4,455,411,0,False,False
