dataset,provider,model,harness,seed,requests,tokens_fresh,tokens_cached,tokens_out,cached_share,charge_usd,reported_usd,agrees_with_report
airline,ollama,deepseek-v4-flash:0731,claude,1,107,5959413,601171,138829,0.0916,1.4069,1.4128,True
airline,ollama,deepseek-v4-flash:0731,claude,2,161,12427428,1037528,199265,0.0771,2.8728,2.9472,True
airline,ollama,deepseek-v4-flash:0731,claude,3,70,5190767,126080,98391,0.0237,1.2078,,False
airline,ollama,deepseek-v4-pro:0813,claude,1,118,9711153,439062,110105,0.0433,6.637,6.637,True
airline,ollama,deepseek-v4-pro:0813,claude,2,50,3031236,360170,79721,0.1062,2.1664,2.1664,True
airline,ollama,deepseek-v4.1-flash,claude,1,91,203969,5884800,81501,0.9665,0.0972,0.093,True
airline,ollama,deepseek-v4.1-flash,claude,2,115,241586,9149614,98090,0.9743,0.1225,0.1225,True
airline,ollama,deepseek-v4.1-flash,claude,3,97,277664,7292862,80658,0.9633,0.1119,0.1119,True
airline,ollama,nemotron-3-super,claude,1,188,1997518,6969600,31485,0.7772,0.1534,0.1551,True
airline,ollama,nemotron-3-super,claude,2,204,2528313,7818624,32495,0.7556,0.1747,0.1797,True
airline,ollama,nemotron-3-super,claude,3,91,954408,2458368,24109,0.7203,0.0657,0.0664,True
airline,lunaroute,deepseek-4.1-flash,claude,1,83,2720224,0,43290,0.0,,,False
airline,lunaroute,deepseek-4.1-flash,claude,2,66,2384353,0,45870,0.0,,,False
airline,lunaroute,deepseek-4.1-flash,claude,3,76,3206710,0,49689,0.0,,,False
airline,lunaroute,glm-5.3-flash,claude,1,93,64012,5083392,88076,0.9876,0.2061,0.2091,True
airline,lunaroute,glm-5.3-flash,claude,2,124,40426,3989824,29408,0.99,0.1405,0.142,True
airline,lunaroute,glm-5.3-flash,claude,3,74,62095,2029376,23019,0.9703,0.0817,0.083,True
airline,lunaroute,glm-5.3,claude,1,46,141198,1171648,37155,0.8924,0.6658,,False
airline,lunaroute,glm-5.3,claude,2,116,128905,4663232,38779,0.9731,1.5635,1.5805,True
airline,lunaroute,glm-5.3,claude,3,109,37031,5660160,73386,0.9935,1.8464,1.8464,True
