provider,model,seed,request,prompt_tokens,cache_read_tokens,output_tokens
ollama,deepseek-v4-flash:0731,1,1,14855,0,63
ollama,deepseek-v4-flash:0731,1,2,17524,0,152
ollama,deepseek-v4-flash:0731,1,3,20473,0,438
ollama,deepseek-v4-flash:0731,1,4,21410,0,415
ollama,deepseek-v4-flash:0731,1,5,21949,0,92
ollama,deepseek-v4-flash:0731,1,6,22124,0,2998
ollama,deepseek-v4-flash:0731,1,7,26228,512,1691
ollama,deepseek-v4-flash:0731,1,8,27990,512,111
ollama,deepseek-v4-flash:0731,1,9,28217,512,135
ollama,deepseek-v4-flash:0731,1,10,28438,512,928
ollama,deepseek-v4-flash:0731,1,11,29635,512,2103
ollama,deepseek-v4-flash:0731,1,12,31809,512,458
ollama,deepseek-v4-flash:0731,1,13,32320,512,106
ollama,deepseek-v4-flash:0731,1,14,32513,512,530
ollama,deepseek-v4-flash:0731,1,15,33103,512,2901
ollama,deepseek-v4-flash:0731,1,16,36058,512,517
ollama,deepseek-v4-flash:0731,1,17,36628,512,449
ollama,deepseek-v4-flash:0731,1,18,37131,512,117
ollama,deepseek-v4-flash:0731,1,19,37334,512,3068
ollama,deepseek-v4-flash:0731,1,20,41335,512,1811
ollama,deepseek-v4-flash:0731,1,21,43200,3328,111
ollama,deepseek-v4-flash:0731,1,22,43397,3328,205
ollama,deepseek-v4-flash:0731,1,23,43706,3328,3085
ollama,deepseek-v4-flash:0731,1,24,46845,3328,218
ollama,deepseek-v4-flash:0731,1,25,47117,3328,106
ollama,deepseek-v4-flash:0731,1,26,47311,3328,267
ollama,deepseek-v4-flash:0731,1,27,48046,3328,4271
ollama,deepseek-v4-flash:0731,1,28,52371,3328,419
ollama,deepseek-v4-flash:0731,1,29,52844,3328,117
ollama,deepseek-v4-flash:0731,1,30,53068,3328,84
ollama,deepseek-v4-flash:0731,1,31,53243,3328,202
ollama,deepseek-v4-flash:0731,1,32,53499,3328,106
ollama,deepseek-v4-flash:0731,1,33,53692,3328,263
ollama,deepseek-v4-flash:0731,1,34,54205,3328,2597
ollama,deepseek-v4-flash:0731,1,35,58082,3328,1107
ollama,deepseek-v4-flash:0731,1,36,59242,3328,119
ollama,deepseek-v4-flash:0731,1,37,59447,3328,125
ollama,deepseek-v4-flash:0731,1,38,59712,3328,3275
ollama,deepseek-v4-flash:0731,1,39,63041,3328,424
ollama,deepseek-v4-flash:0731,1,40,63519,3328,107
ollama,deepseek-v4-flash:0731,1,41,63733,3328,73
ollama,deepseek-v4-flash:0731,1,42,63872,3328,845
ollama,deepseek-v4-flash:0731,1,43,64884,3328,2082
ollama,deepseek-v4-flash:0731,1,44,67020,3328,187
ollama,deepseek-v4-flash:0731,1,45,69034,3328,489
ollama,deepseek-v4-flash:0731,1,46,69577,3328,132
ollama,deepseek-v4-flash:0731,1,47,70148,4224,205
ollama,deepseek-v4-flash:0731,1,48,70407,4224,115
ollama,deepseek-v4-flash:0731,1,49,70603,4224,85
ollama,deepseek-v4-flash:0731,1,50,70837,4224,1889
ollama,deepseek-v4-flash:0731,1,51,74306,4224,25295
ollama,deepseek-v4-flash:0731,1,52,105162,4224,3198
ollama,deepseek-v4-flash:0731,1,53,108470,4224,89
ollama,deepseek-v4-flash:0731,1,54,108704,4224,2895
ollama,deepseek-v4-flash:0731,1,55,113004,9811,1818
ollama,deepseek-v4-flash:0731,1,56,115811,9856,3750
ollama,deepseek-v4-flash:0731,1,57,119615,9856,290
ollama,deepseek-v4-flash:0731,1,58,119995,9856,5458
ollama,deepseek-v4-flash:0731,1,59,127402,9856,1501
ollama,deepseek-v4-flash:0731,1,60,129373,9856,1343
ollama,deepseek-v4-flash:0731,1,61,131196,9856,1645
ollama,deepseek-v4-flash:0731,1,62,133328,0,2180
ollama,deepseek-v4-flash:0731,1,63,137457,8192,2929
ollama,deepseek-v4-flash:0731,1,64,141120,0,2648
ollama,deepseek-v4-flash:0731,1,65,145717,8192,2563
ollama,deepseek-v4-flash:0731,1,66,148929,0,2839
ollama,deepseek-v4-flash:0731,1,67,152422,0,2880
ollama,deepseek-v4-flash:0731,1,68,155643,0,1836
ollama,deepseek-v4-flash:0731,1,69,159935,8192,1890
ollama,deepseek-v4-flash:0731,1,70,162095,0,1105
ollama,deepseek-v4-flash:0731,1,71,164044,16256,3428
ollama,deepseek-v4-flash:0731,1,72,28486,0,1900
ollama,deepseek-v4-flash:0731,1,73,30440,8192,122
