harness,model,box,n,mean,sd,pair_box_anova_F
hermes,deepseek-4.1-flash,var1,13,0.74452,0.01232,2.221
hermes,deepseek-4.1-flash,var2,13,0.754,0.01992,2.221
hermes,deepseek-4.1-flash,var3,13,0.74092,0.01227,2.221
hermes,deepseek-4.1-flash,var4,13,0.74413,0.00675,2.221
hermes,glm-5.3-flash,var1,13,0.7359,0.01114,1.761
hermes,glm-5.3-flash,var2,13,0.7385,0.00818,1.761
hermes,glm-5.3-flash,var3,13,0.74254,0.02704,1.761
hermes,glm-5.3-flash,var4,13,0.75396,0.03088,1.761
opencode,deepseek-4.1-flash,var1,13,0.74604,0.00736,3.019
opencode,deepseek-4.1-flash,var2,13,0.74143,0.00782,3.019
opencode,deepseek-4.1-flash,var3,13,0.73652,0.01087,3.019
opencode,deepseek-4.1-flash,var4,13,0.73722,0.00996,3.019
opencode,glm-5.3-flash,var1,13,0.74247,0.00862,0.282
opencode,glm-5.3-flash,var2,13,0.74421,0.0277,0.282
opencode,glm-5.3-flash,var3,13,0.74156,0.00996,0.282
opencode,glm-5.3-flash,var4,13,0.73857,0.00931,0.282
pi,deepseek-4.1-flash,var1,13,0.7432,0.01236,0.243
pi,deepseek-4.1-flash,var2,13,0.74674,0.01198,0.243
pi,deepseek-4.1-flash,var3,13,0.74509,0.01396,0.243
pi,deepseek-4.1-flash,var4,13,0.74692,0.01237,0.243
pi,glm-5.3-flash,var1,13,0.73739,0.01098,0.193
pi,glm-5.3-flash,var2,13,0.73543,0.01221,0.193
pi,glm-5.3-flash,var3,13,0.73455,0.01055,0.193
pi,glm-5.3-flash,var4,13,0.73686,0.00876,0.193
