box,harness,model,seed,holdout_auc,best_eval_auc,frame_stats,n_hits,note,kinds,where,lines
runs,hermes,deepseek-4.1-flash,1,0.720347907696,0.7182,False,0,,,,
runs,hermes,deepseek-4.1-flash,10,0.73456518634,0.7336,False,0,,,,
runs,hermes,deepseek-4.1-flash,11,0.7284248637040001,0.7278,False,0,,,,
runs,hermes,deepseek-4.1-flash,12,0.7436737869379999,0.7444,False,0,,,,
runs,hermes,deepseek-4.1-flash,13,0.75015976708,0.7498,False,0,,,,
runs,hermes,deepseek-4.1-flash,2,0.74359724266,0.7432,False,0,,,,
runs,hermes,deepseek-4.1-flash,3,0.739529933516,0.7393,False,0,,,,
runs,hermes,deepseek-4.1-flash,4,0.7607430038379999,0.7608,False,0,,,,
runs,hermes,deepseek-4.1-flash,5,0.744190962034,0.7613,True,8,,groupby;nunique;rank;value_counts,prepare,"111: _days = max(day_key.nunique(), 1) | 114: n_day_hour = day_hour.map(day_hour.value_counts()) | 132: n_car_hour = car_hour.map(car_hour.value_counts()) | 119: n_h = key_h.map(key_h.value_counts()) | 120: n_d = key_d.map(key_d.value_counts())"
runs,hermes,deepseek-4.1-flash,6,0.756399440374,0.7573,False,0,,,,
runs,hermes,deepseek-4.1-flash,7,0.76405085253,0.7644,False,0,,,,
runs,hermes,deepseek-4.1-flash,8,0.7502626601619999,0.7487,False,0,,,,
runs,hermes,deepseek-4.1-flash,9,0.7428568093560001,0.7427,False,0,,,,
runs,hermes,glm-5.3-flash,1,0.7391197487060001,0.7391,False,0,,,,
runs,hermes,glm-5.3-flash,10,0.73147696521,0.7321,False,0,,,,
runs,hermes,glm-5.3-flash,11,0.72335584216,0.7219,False,0,,,,
runs,hermes,glm-5.3-flash,12,0.7461150353699999,0.7458,False,0,,,,
runs,hermes,glm-5.3-flash,13,0.747349406688,0.7469,False,0,,,,
runs,hermes,glm-5.3-flash,2,0.728908973952,0.7286,False,0,,,,
runs,hermes,glm-5.3-flash,3,0.7439810344879999,0.7431,False,0,,,,
runs,hermes,glm-5.3-flash,4,0.753915058492,0.7529,False,0,,,,
runs,hermes,glm-5.3-flash,5,0.7449573894279999,0.7453,False,0,,,,
runs,hermes,glm-5.3-flash,6,0.7333791045720001,0.7335,False,0,,,,
runs,hermes,glm-5.3-flash,7,0.7352000118140001,0.7348,False,0,,,,
runs,hermes,glm-5.3-flash,8,0.720099610284,0.7206,False,0,,,,
runs,hermes,glm-5.3-flash,9,0.7188904210260001,0.7179,False,0,,,,
runs,opencode,deepseek-4.1-flash,1,0.726980927716,0.7273,False,0,,,,
runs,opencode,deepseek-4.1-flash,10,0.745035015544,0.7448,False,0,,,,
runs,opencode,deepseek-4.1-flash,11,0.750439689718,0.7499,False,0,,,,
runs,opencode,deepseek-4.1-flash,12,0.746055222336,0.7451,False,0,,,,
runs,opencode,deepseek-4.1-flash,13,0.741843073002,0.7412,False,0,,,,
runs,opencode,deepseek-4.1-flash,2,0.750306058628,0.75,False,0,,,,
runs,opencode,deepseek-4.1-flash,3,0.7387756758380001,0.7385,False,0,,,,
runs,opencode,deepseek-4.1-flash,4,0.746470244164,0.747,True,1,,groupby,_oof_te,"134: _g = _d.groupby(""k"")[""y""].agg([""mean"", ""size""])"
runs,opencode,deepseek-4.1-flash,5,0.753280052214,0.7537,False,0,,,,
runs,opencode,deepseek-4.1-flash,6,0.7539260476880001,0.7529,False,0,,,,
runs,opencode,deepseek-4.1-flash,7,0.751744967086,0.752,False,0,,,,
runs,opencode,deepseek-4.1-flash,8,0.750637754402,0.7504,False,0,,,,
runs,opencode,deepseek-4.1-flash,9,0.7429800826119999,0.7426,False,0,,,,
runs,opencode,glm-5.3-flash,1,0.751751832816,0.7512,False,0,,,,
runs,opencode,glm-5.3-flash,10,0.7385365776,0.7365,False,0,,,,
runs,opencode,glm-5.3-flash,11,0.748624026506,0.7483,False,0,,,,
runs,opencode,glm-5.3-flash,12,0.726228977184,0.7257,False,0,,,,
runs,opencode,glm-5.3-flash,13,0.7404809539499999,0.7399,False,0,,,,
runs,opencode,glm-5.3-flash,2,0.7348505917879999,0.7335,False,0,,,,
runs,opencode,glm-5.3-flash,3,0.732638602384,0.7305,False,0,,,,
runs,opencode,glm-5.3-flash,4,0.754893828098,0.7546,False,0,,,,
runs,opencode,glm-5.3-flash,5,0.7349439724860001,0.7332,False,0,,,,
runs,opencode,glm-5.3-flash,6,0.7486125513179999,0.7482,False,0,,,,
runs,opencode,glm-5.3-flash,7,0.748265182092,0.7476,False,0,,,,
runs,opencode,glm-5.3-flash,8,0.7493263163799999,0.748,False,0,,,,
runs,opencode,glm-5.3-flash,9,0.7429399505259999,0.7421,False,0,,,,
runs,pi,deepseek-4.1-flash,1,0.759014665142,0.7594,False,0,,,,
runs,pi,deepseek-4.1-flash,10,0.758691274332,0.7592,False,0,,,,
runs,pi,deepseek-4.1-flash,11,0.7366468354360001,0.737,False,0,,,,
runs,pi,deepseek-4.1-flash,12,0.7268372380020001,0.7263,False,0,,,,
runs,pi,deepseek-4.1-flash,13,0.755763572356,0.7555,False,0,,,,
runs,pi,deepseek-4.1-flash,2,0.744109547988,0.7437,False,0,,,,
runs,pi,deepseek-4.1-flash,3,0.7571240242499999,0.756,False,0,,,,
runs,pi,deepseek-4.1-flash,4,0.739052051084,0.7366,False,0,,,,
runs,pi,deepseek-4.1-flash,5,0.7475904894600001,0.7481,False,0,,,,
runs,pi,deepseek-4.1-flash,6,0.7458210981,0.7457,False,0,,,,
runs,pi,deepseek-4.1-flash,7,0.739722383986,0.7411,False,0,,,,
runs,pi,deepseek-4.1-flash,8,0.726938831048,0.7264,False,0,,,,
runs,pi,deepseek-4.1-flash,9,0.7242558456879999,0.7233,False,0,,,,
runs,pi,glm-5.3-flash,1,0.729421826182,0.7285,False,0,,,,
runs,pi,glm-5.3-flash,10,0.7356993909199999,0.7357,False,0,,,,
runs,pi,glm-5.3-flash,11,0.753594121152,0.7526,False,0,,,,
runs,pi,glm-5.3-flash,12,0.721319911688,0.7211,False,0,,,,
runs,pi,glm-5.3-flash,13,0.7597404541660001,0.759,False,0,,,,
runs,pi,glm-5.3-flash,2,0.7269412587619999,0.7266,False,0,,,,
runs,pi,glm-5.3-flash,3,0.725857892404,0.7248,False,0,,,,
runs,pi,glm-5.3-flash,4,0.746929053798,0.7458,False,0,,,,
runs,pi,glm-5.3-flash,5,0.7355075997520001,0.7341,False,0,,,,
runs,pi,glm-5.3-flash,6,0.741217059212,0.7406,False,0,,,,
runs,pi,glm-5.3-flash,7,0.738692308068,0.7357,False,0,,,,
runs,pi,glm-5.3-flash,8,0.734776494958,0.7361,False,0,,,,
runs,pi,glm-5.3-flash,9,0.73641160609,0.7349,False,0,,,,
runs,hermes,deepseek-4.1-flash,14,0.776647053484,0.7592,True,13,,groupby;rank;transform;value_counts,_cum_share;_share;_share_rank,"85: return (num.map(num.value_counts()) / den.map(den.value_counts())).to_numpy(dtype=float) | 85: return (num.map(num.value_counts()) / den.map(den.value_counts())).to_numpy(dtype=float) | 85: return (num.map(num.value_counts()) / den.map(den.value_counts())).to_numpy(dtype=float) | 85: return (num.map(num.value_counts()) / den.map(den.value_counts())).to_numpy(dtype=float) | 192: ratio = cnt.groupby(level=0).cumsum() / cnt.groupby(level=0).transform(""sum"")"
runs,hermes,deepseek-4.1-flash,15,0.803630404558,0.7965,True,3,,groupby;transform;value_counts,prepare,"165: X[""sc_"" + child] = X.groupby(parent)[child].transform( | 163: X[""s_"" + c] = (X[c].map(X[c].value_counts()) / n).to_numpy() | 165: X[""sc_"" + child] = X.groupby(parent)[child].transform("
runs,hermes,deepseek-4.1-flash,16,0.74565149133,0.7448,False,0,,,,
runs,hermes,deepseek-4.1-flash,17,0.75502976336,0.756,False,0,,,,
runs,hermes,deepseek-4.1-flash,18,0.74932203146,0.748,False,0,,,,
runs,hermes,deepseek-4.1-flash,19,0.7497131786340001,0.7479,False,0,,,,
runs,hermes,deepseek-4.1-flash,20,0.748862156468,0.7483,False,0,,,,
runs,hermes,deepseek-4.1-flash,21,0.765944089366,0.766,False,0,,,,
runs,hermes,deepseek-4.1-flash,22,0.7483671339,0.7481,False,0,,,,
runs,hermes,deepseek-4.1-flash,23,0.7498462803300001,0.7499,False,0,,,,
runs,hermes,deepseek-4.1-flash,24,0.724141906882,0.7225,False,0,,,,
runs,hermes,deepseek-4.1-flash,25,0.730227967412,0.7294,False,0,,,,
runs,hermes,deepseek-4.1-flash,26,0.7546000410520001,0.7545,False,0,,,,
runs,hermes,glm-5.3-flash,14,0.7289102172799999,0.7279,False,0,,,,
runs,hermes,glm-5.3-flash,15,0.726893724474,0.7258,False,0,,,,
runs,hermes,glm-5.3-flash,16,0.737863436272,0.7377,False,0,,,,
runs,hermes,glm-5.3-flash,17,0.744028208156,0.7442,False,0,,,,
runs,hermes,glm-5.3-flash,18,0.7334744900960001,0.7319,False,0,,,,
runs,hermes,glm-5.3-flash,19,0.74977475708,0.7501,False,0,,,,
runs,hermes,glm-5.3-flash,20,0.7418650350439999,0.7412,False,0,,,,
runs,hermes,glm-5.3-flash,21,0.754265570416,0.7544,False,0,,,,
runs,hermes,glm-5.3-flash,22,0.741753545606,0.7416,False,0,,,,
runs,hermes,glm-5.3-flash,23,0.734434647836,0.7329,False,0,,,,
runs,hermes,glm-5.3-flash,24,0.7431483171919999,0.7432,False,0,,,,
runs,hermes,glm-5.3-flash,25,0.7328341880539999,0.7321,False,0,,,,
runs,hermes,glm-5.3-flash,26,0.731301163388,0.7306,False,0,,,,
runs,opencode,deepseek-4.1-flash,14,0.7466206465240001,0.7454,False,0,,,,
runs,opencode,deepseek-4.1-flash,15,0.7283863178699999,0.7279,False,0,,,,
runs,opencode,deepseek-4.1-flash,16,0.7578078857299999,0.7578,False,0,,,,
runs,opencode,deepseek-4.1-flash,17,0.7439576263100001,0.7434,False,0,,,,
runs,opencode,deepseek-4.1-flash,18,0.736497930958,0.7365,False,0,,,,
runs,opencode,deepseek-4.1-flash,19,0.737054242316,0.7362,False,0,,,,
runs,opencode,deepseek-4.1-flash,20,0.752303934782,0.7526,False,0,,,,
runs,opencode,deepseek-4.1-flash,21,0.735391344658,0.735,False,0,,,,
runs,opencode,deepseek-4.1-flash,22,0.7422174545760001,0.7416,False,0,,,,
runs,opencode,deepseek-4.1-flash,23,0.744925408262,0.7446,False,0,,,,
runs,opencode,deepseek-4.1-flash,24,0.739418073492,0.7398,False,0,,,,
runs,opencode,deepseek-4.1-flash,25,0.73891413281,0.7387,False,0,,,,
runs,opencode,deepseek-4.1-flash,26,0.7350595056260001,0.7329,False,0,,,,
runs,opencode,glm-5.3-flash,14,0.723808198642,0.723,False,0,,,,
runs,opencode,glm-5.3-flash,15,0.74649152246,0.7466,False,0,,,,
runs,opencode,glm-5.3-flash,16,0.73227017865,0.7316,False,0,,,,
runs,opencode,glm-5.3-flash,17,0.734993604142,0.7339,False,0,,,,
runs,opencode,glm-5.3-flash,18,0.752620288078,0.7524,False,0,,,,
runs,opencode,glm-5.3-flash,19,0.737045130962,0.7363,False,0,,,,
runs,opencode,glm-5.3-flash,20,0.751384072108,0.751,False,0,,,,
runs,opencode,glm-5.3-flash,21,0.725808682876,0.7247,False,0,,,,
runs,opencode,glm-5.3-flash,22,0.736038058418,0.7356,False,0,,,,
runs,opencode,glm-5.3-flash,23,0.829295190514,0.9958,False,0,,,,
runs,opencode,glm-5.3-flash,24,0.743333918226,0.7432,False,0,,,,
runs,opencode,glm-5.3-flash,25,0.717024537116,0.7166,False,0,,,,
runs,opencode,glm-5.3-flash,26,0.7445854049480001,0.744,False,0,,,,
runs,pi,deepseek-4.1-flash,14,0.7435945529820001,0.7298,False,0,,,,
runs,pi,deepseek-4.1-flash,15,0.736082858974,0.7366,False,0,,,,
runs,pi,deepseek-4.1-flash,16,0.7470504500780001,0.7479,False,0,,,,
runs,pi,deepseek-4.1-flash,17,0.756691069712,0.7571,False,0,,,,
runs,pi,deepseek-4.1-flash,18,0.724433563524,0.7236,False,0,,,,
runs,pi,deepseek-4.1-flash,19,0.7563015644479999,0.7577,False,0,,,,
runs,pi,deepseek-4.1-flash,20,0.7393113662299999,0.7373,False,0,,,,
runs,pi,deepseek-4.1-flash,21,0.7605702691439999,0.7603,False,0,,,,
runs,pi,deepseek-4.1-flash,22,0.7640753347160001,0.7638,False,0,,,,
runs,pi,deepseek-4.1-flash,23,0.742833858438,0.7426,False,0,,,,
runs,pi,deepseek-4.1-flash,24,0.731987816966,0.7307,False,0,,,,
runs,pi,deepseek-4.1-flash,25,0.75813198723,0.7577,False,0,,,,
runs,pi,deepseek-4.1-flash,26,0.7465971720979999,0.7457,False,0,,,,
runs,pi,glm-5.3-flash,14,0.752863545776,0.7528,False,0,,,,
runs,pi,glm-5.3-flash,15,0.750144547892,0.7498,False,0,,,,
runs,pi,glm-5.3-flash,16,0.743559732214,0.7436,False,0,,,,
