Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-4,c-10,c-7,1357,UA,TPA,IAD,810,N
c-6,c-30,c-4,1612,NW,DTW,CLT,500,Y
c-12,c-30,c-5,555,WN,OAK,SAN,446,N
c-1,c-6,c-4,2146,DL,ATL,GSP,153,Y
c-12,c-12,c-1,917,XE,SRQ,IAH,796,N
c-3,c-22,c-2,625,WN,OKC,MCI,313,N
c-12,c-5,c-1,1907,DL,MCO,SJU,1189,Y
c-5,c-24,c-2,15,AA,LAX,ORD,1745,Y
c-12,c-1,c-4,1338,AA,LGA,ORD,733,Y
c-8,c-10,c-3,1850,NW,MSP,DTW,528,Y
c-12,c-22,c-4,1008,WN,BWI,SAN,2295,Y
c-7,c-15,c-5,2126,NW,MSP,STL,449,N
c-5,c-27,c-5,1520,WN,RNO,LAX,390,Y
c-5,c-11,c-3,1430,AS,PDX,OAK,543,N
c-2,c-16,c-3,954,NW,MEM,GPT,324,N
c-1,c-18,c-2,1500,WN,BWI,ORF,159,N
c-1,c-5,c-3,1804,MQ,PNS,DFW,604,Y
c-7,c-23,c-6,1137,US,PIT,TPA,873,N
c-10,c-7,c-5,1547,OH,CMI,CVG,205,N
c-1,c-31,c-1,1456,US,BOS,LGA,185,N
c-8,c-24,c-3,2136,AA,ORD,EWR,719,Y
c-2,c-15,c-2,1325,OO,LAX,IPL,181,Y
c-10,c-13,c-4,1701,AA,DEN,LAX,862,Y
c-3,c-5,c-6,1015,OH,COS,CVG,1078,N
c-2,c-11,c-5,2017,US,PHL,CHS,550,Y
c-10,c-18,c-2,1206,AS,SEA,SJC,697,N
c-5,c-20,c-5,1227,MQ,SNA,SJC,342,N
c-1,c-1,c-6,1544,WN,MCI,MCO,1072,Y
c-4,c-8,c-5,1903,UA,ORD,DCA,612,N
c-4,c-6,c-3,1148,HP,PHX,JFK,2153,N
c-6,c-12,c-7,1910,UA,SAN,SFO,447,Y
c-9,c-2,c-5,1431,NW,MSP,SEA,1399,N
c-2,c-6,c-7,1115,MQ,DFW,FWA,859,N
c-9,c-15,c-4,1658,FL,ATL,GPT,352,Y
c-2,c-10,c-4,1804,US,MHT,CLT,737,N
c-5,c-2,c-1,1922,NW,MSP,MKE,297,N
c-12,c-5,c-1,1034,XE,IAH,PBI,956,N
c-9,c-5,c-1,1545,UA,SEA,DEN,1024,N
c-1,c-5,c-3,1913,AA,DFW,ATL,732,Y
c-11,c-24,c-4,1200,WN,HOU,MAF,441,Y
c-12,c-1,c-4,750,UA,ICT,DEN,419,Y
c-1,c-31,c-1,822,FL,FLL,PHL,992,Y
c-10,c-17,c-1,1051,AA,SEA,DFW,1660,Y
